Time (ms),Brass 500 PSI,Brass 1600 PSI
1,156.9214,448.4375
2,156.9214,449.4141
3,156.9214,449.4141
4,156.9214,448.4375
5,157.2266,448.4375
6,156.9214,449.4141
7,156.9214,449.4141
8,156.9214,450.3906
9,156.9214,448.4375
10,157.2266,447.4609
11,157.2266,451.3672
12,156.9214,449.4141
13,156.9214,450.3906
14,156.9214,449.4141
15,156.9214,449.4141
16,156.9214,450.3906
17,160.8887,449.4141
18,156.9214,447.4609
19,157.5317,449.4141
20,156.9214,449.4141
21,156.9214,449.4141
22,159.0576,448.4375
23,156.9214,449.4141
24,156.9214,449.4141
25,156.9214,449.4141
26,156.9214,447.4609
27,157.2266,448.4375
28,156.9214,450.3906
29,156.9214,447.4609
30,156.9214,448.4375
31,156.9214,449.4141
32,156.9214,449.4141
33,156.9214,450.3906
34,156.9214,448.4375
35,156.9214,447.4609
36,156.9214,450.3906
37,156.9214,448.4375
38,156.9214,450.3906
39,156.9214,449.4141
40,156.9214,449.4141
41,156.9214,448.4375
42,156.9214,449.4141
43,156.9214,447.4609
44,156.9214,449.4141
45,156.9214,451.3672
46,156.9214,450.3906
47,156.9214,449.4141
48,156.9214,449.4141
49,156.9214,447.4609
50,157.2266,449.4141
51,156.9214,448.4375
52,157.2266,447.4609
53,156.9214,450.3906
54,156.9214,447.4609
55,156.9214,448.4375
56,157.2266,449.4141
57,157.2266,449.4141
58,157.2266,449.4141
59,156.9214,449.4141
60,156.9214,447.4609
61,157.2266,450.3906
62,156.9214,449.4141
63,156.9214,449.4141
64,156.9214,450.3906
65,156.9214,450.3906
66,156.9214,448.4375
67,156.9214,449.4141
68,156.9214,448.4375
69,156.9214,447.4609
70,156.9214,450.3906
71,156.9214,457.2266
72,156.9214,449.4141
73,156.9214,448.4375
74,156.9214,447.4609
75,157.2266,449.4141
76,156.9214,447.4609
77,157.2266,447.4609
78,156.9214,450.3906
79,156.9214,447.4609
80,156.9214,449.4141
81,156.9214,449.4141
82,156.9214,449.4141
