Time (ms),Brass 500 PSI,Brass 1600 PSI
1,156.9214,785.3516
2,157.2266,785.3516
3,157.2266,787.3047
4,157.2266,785.3516
5,157.2266,785.3516
6,157.2266,789.2578
7,156.9214,788.2813
8,156.9214,787.3047
9,156.9214,786.3281
10,157.2266,785.3516
11,156.9214,787.3047
12,157.2266,787.3047
13,156.9214,785.3516
14,157.2266,785.3516
15,156.9214,783.3984
16,157.2266,786.3281
17,157.2266,785.3516
18,157.8369,787.3047
19,157.2266,785.3516
20,157.2266,788.2813
21,156.9214,785.3516
22,157.2266,786.3281
23,157.2266,787.3047
24,157.5317,785.3516
25,157.5317,785.3516
26,156.9214,786.3281
27,157.2266,786.3281
28,157.2266,788.2813
29,156.9214,788.2813
30,157.2266,785.3516
31,157.2266,786.3281
32,156.9214,786.3281
33,157.5317,787.3047
34,156.9214,786.3281
35,157.2266,786.3281
36,157.2266,787.3047
37,157.2266,788.2813
38,157.5317,786.3281
39,157.2266,785.3516
40,157.2266,788.2813
41,157.2266,789.2578
42,157.2266,785.3516
43,157.2266,786.3281
44,156.9214,785.3516
45,157.2266,787.3047
46,156.9214,787.3047
47,156.9214,785.3516
48,157.2266,786.3281
49,157.2266,786.3281
50,157.5317,785.3516
51,157.2266,785.3516
52,157.2266,786.3281
53,157.2266,785.3516
54,157.5317,788.2813
55,156.9214,788.2813
56,157.5317,785.3516
57,157.2266,784.375
58,157.2266,785.3516
59,157.2266,788.2813
60,157.2266,788.2813
61,156.9214,785.3516
62,157.5317,787.3047
63,156.9214,787.3047
64,157.2266,785.3516
65,159.668,787.3047
66,157.5317,786.3281
67,161.1938,788.2813
68,156.9214,785.3516
69,157.2266,785.3516
70,156.9214,786.3281
71,157.2266,786.3281
72,156.9214,786.3281
73,157.2266,785.3516
74,156.9214,787.3047
75,157.2266,786.3281
76,156.9214,787.3047
77,157.2266,788.2813
78,156.9214,785.3516
79,157.2266,786.3281
80,156.9214,788.2813
81,156.9214,785.3516
82,157.5317,786.3281
83,157.2266,785.3516
84,157.5317,785.3516
85,156.9214,785.3516
86,156.9214,785.3516
87,157.2266,785.3516
88,157.5317,787.3047
89,157.2266,788.2813
90,157.2266,785.3516
91,157.2266,785.3516
92,157.2266,788.2813
93,157.2266,785.3516
94,157.2266,788.2813
95,156.9214,785.3516
96,157.5317,785.3516
97,157.2266,787.3047
98,156.9214,785.3516
99,156.9214,787.3047
100,157.2266,787.3047
101,156.9214,786.3281
102,157.5317,786.3281
103,157.2266,786.3281
104,157.2266,785.3516
105,157.5317,786.3281
106,156.9214,787.3047
107,156.9214,787.3047
108,156.9214,786.3281
109,156.9214,785.3516
110,156.9214,786.3281
111,156.9214,787.3047
112,156.9214,794.1406
113,157.5317,785.3516
114,157.2266,787.3047
115,156.9214,785.3516
116,157.2266,785.3516
117,157.2266,793.1641
118,157.5317,787.3047
119,157.2266,787.3047
120,157.5317,785.3516
121,157.5317,783.3984
122,157.2266,787.3047
123,157.2266,787.3047
124,157.2266,786.3281
125,157.2266,788.2813
126,157.2266,786.3281
127,157.2266,786.3281
128,157.2266,786.3281
129,157.2266,785.3516
130,157.2266,785.3516
131,157.2266,788.2813
132,157.2266,788.2813
133,157.2266,786.3281
134,157.5317,785.3516
135,157.2266,785.3516
136,157.2266,788.2813
137,157.5317,785.3516
138,157.2266,784.375
139,157.2266,788.2813
140,156.9214,785.3516
141,157.2266,785.3516
142,156.9214,786.3281
143,157.2266,786.3281
144,156.9214,787.3047
145,157.2266,785.3516
146,157.2266,785.3516
147,157.5317,785.3516
148,157.2266,786.3281
149,157.5317,785.3516
150,157.2266,786.3281
151,157.2266,787.3047
152,157.5317,785.3516
153,156.9214,787.3047
154,157.5317,784.375
155,157.2266,786.3281
156,157.2266,788.2813
157,157.2266,788.2813
158,156.9214,787.3047
159,157.2266,785.3516
160,157.2266,785.3516
161,157.2266,788.2813
162,157.2266,785.3516
163,157.2266,785.3516
164,157.2266,788.2813
165,156.9214,785.3516
166,157.5317,785.3516
167,157.2266,785.3516
168,157.5317,786.3281
169,157.5317,787.3047
170,156.9214,785.3516
171,156.9214,785.3516
172,158.7524,787.3047
173,157.2266,786.3281
174,157.5317,787.3047
175,156.9214,788.2813
176,156.9214,788.2813
177,157.2266,786.3281
178,157.2266,786.3281
179,156.9214,785.3516
180,157.2266,786.3281
181,156.9214,787.3047
182,157.2266,787.3047
183,157.2266,785.3516
184,157.2266,785.3516
185,157.2266,786.3281
186,157.2266,787.3047
187,157.2266,785.3516
188,157.5317,785.3516
189,157.2266,787.3047
190,157.2266,785.3516
191,157.5317,785.3516
192,157.2266,787.3047
193,157.2266,786.3281
194,156.9214,787.3047
195,157.5317,784.375
196,157.2266,786.3281
197,156.9214,787.3047
198,156.9214,785.3516
199,157.2266,787.3047
200,156.9214,786.3281
201,156.9214,786.3281
202,157.2266,787.3047
203,157.2266,785.3516
204,157.2266,785.3516
205,157.2266,789.2578
206,156.9214,785.3516
207,157.5317,785.3516
208,157.2266,785.3516
209,157.2266,787.3047
210,157.2266,786.3281
211,156.9214,785.3516
212,157.2266,785.3516
213,156.9214,786.3281
214,157.2266,787.3047
215,156.9214,784.375
216,157.2266,785.3516
217,157.5317,797.0703
218,157.2266,786.3281
219,157.2266,786.3281
220,157.5317,784.375
221,157.2266,785.3516
222,156.9214,788.2813
223,157.2266,785.3516
224,156.9214,789.2578
225,156.9214,787.3047
226,156.9214,788.2813
227,156.9214,787.3047
228,157.2266,785.3516
229,157.2266,785.3516
230,157.2266,787.3047
231,156.9214,785.3516
232,157.2266,785.3516
233,157.2266,785.3516
234,157.2266,785.3516
235,157.2266,785.3516
236,157.2266,786.3281
237,157.2266,785.3516
238,157.2266,787.3047
239,157.2266,787.3047
240,157.2266,785.3516
241,157.2266,785.3516
242,157.2266,788.2813
243,157.2266,785.3516
244,157.2266,787.3047
245,156.9214,785.3516
246,157.2266,785.3516
247,156.9214,786.3281
248,156.9214,784.375
249,156.9214,787.3047
250,157.2266,786.3281
251,157.2266,787.3047
252,157.2266,787.3047
253,157.2266,785.3516
254,157.5317,786.3281
255,157.8369,788.2813
256,157.2266,785.3516
257,157.5317,785.3516
258,157.2266,785.3516
259,157.2266,786.3281
260,156.9214,787.3047
261,156.9214,785.3516
262,157.2266,785.3516
263,157.5317,788.2813
264,156.9214,787.3047
265,156.9214,786.3281
266,157.2266,786.3281
267,156.9214,787.3047
268,157.2266,785.3516
269,160.2783,786.3281
270,156.9214,785.3516
271,157.2266,786.3281
272,157.2266,787.3047
273,157.2266,785.3516
274,157.2266,788.2813
275,156.9214,786.3281
276,156.9214,786.3281
277,157.2266,787.3047
278,157.2266,785.3516
279,157.5317,785.3516
280,156.9214,788.2813
281,157.2266,785.3516
282,157.5317,785.3516
283,157.5317,785.3516
284,157.5317,785.3516
285,157.2266,786.3281
286,157.2266,785.3516
287,157.5317,785.3516
288,157.2266,788.2813
289,156.9214,787.3047
290,157.2266,786.3281
291,157.5317,786.3281
292,157.2266,787.3047
293,157.2266,785.3516
294,156.9214,786.3281
295,157.5317,784.375
296,157.5317,786.3281
297,156.9214,788.2813
298,157.2266,784.375
299,156.9214,787.3047
300,156.9214,785.3516
301,157.2266,786.3281
302,157.5317,788.2813
303,157.2266,785.3516
304,157.5317,786.3281
305,157.2266,787.3047
306,157.2266,785.3516
307,157.2266,785.3516
308,157.2266,785.3516
309,157.2266,785.3516
310,157.2266,786.3281
311,156.9214,785.3516
312,156.9214,785.3516
313,157.2266,786.3281
314,157.2266,787.3047
315,157.2266,795.1172
316,157.2266,785.3516
317,157.2266,787.3047
318,157.2266,785.3516
319,157.2266,791.2109
320,157.5317,786.3281
321,157.5317,785.3516
322,157.2266,786.3281
323,156.9214,784.375
324,156.9214,787.3047
325,156.9214,786.3281
326,156.9214,787.3047
327,156.9214,786.3281
328,156.9214,785.3516
329,157.2266,785.3516
330,157.2266,788.2813
331,157.2266,786.3281
332,157.2266,785.3516
333,156.9214,785.3516
334,157.5317,786.3281
335,157.2266,786.3281
336,157.2266,786.3281
337,157.2266,785.3516
338,157.5317,788.2813
339,156.9214,788.2813
340,157.5317,785.3516
341,156.9214,785.3516
342,157.2266,787.3047
343,157.2266,786.3281
344,156.9214,788.2813
345,157.2266,784.375
346,157.2266,785.3516
347,156.9214,788.2813
348,157.2266,785.3516
349,157.2266,787.3047
350,156.9214,787.3047
351,157.2266,787.3047
352,156.9214,786.3281
353,156.9214,785.3516
354,157.2266,785.3516
355,157.5317,787.3047
356,156.9214,786.3281
357,157.2266,786.3281
358,157.2266,785.3516
359,157.2266,785.3516
360,157.2266,785.3516
361,157.2266,787.3047
362,157.2266,785.3516
363,157.2266,785.3516
364,156.9214,787.3047
365,157.5317,785.3516
366,159.9731,784.375
367,157.5317,786.3281
368,157.2266,784.375
369,161.1938,787.3047
370,157.2266,785.3516
371,157.2266,785.3516
372,157.5317,788.2813
373,157.2266,785.3516
374,156.9214,788.2813
375,156.9214,787.3047
376,157.2266,787.3047
377,157.2266,786.3281
378,156.9214,786.3281
379,156.9214,784.375
380,157.2266,787.3047
381,156.9214,786.3281
382,157.5317,785.3516
383,157.2266,785.3516
384,157.2266,785.3516
385,157.2266,785.3516
386,156.9214,787.3047
387,156.9214,785.3516
388,157.2266,786.3281
389,157.2266,789.2578
390,157.2266,785.3516
391,157.2266,785.3516
392,156.9214,787.3047
393,157.2266,785.3516
394,157.2266,786.3281
395,156.9214,785.3516
396,157.5317,785.3516
397,156.9214,789.2578
398,156.9214,785.3516
399,157.2266,788.2813
400,157.5317,786.3281
401,157.2266,787.3047
402,157.5317,786.3281
403,157.2266,785.3516
404,157.5317,785.3516
405,157.5317,787.3047
406,157.2266,786.3281
407,157.2266,786.3281
408,156.9214,785.3516
409,156.9214,785.3516
410,157.2266,786.3281
411,157.2266,785.3516
412,157.2266,785.3516
413,157.2266,786.3281
414,157.2266,788.2813
415,156.9214,785.3516
416,157.5317,786.3281
417,156.9214,787.3047
418,157.2266,786.3281
419,157.5317,787.3047
420,156.9214,783.3984
421,157.5317,785.3516
422,157.2266,788.2813
423,156.9214,785.3516
424,156.9214,788.2813
425,156.9214,786.3281
426,156.9214,786.3281
427,157.2266,786.3281
428,156.9214,784.375
429,157.2266,785.3516
430,157.2266,788.2813
431,157.2266,785.3516
432,157.2266,785.3516
433,157.2266,785.3516
434,157.2266,785.3516
435,157.2266,786.3281
436,157.2266,786.3281
437,157.2266,785.3516
438,157.2266,788.2813
439,157.2266,787.3047
440,157.2266,786.3281
441,157.2266,786.3281
442,157.2266,787.3047
443,157.2266,785.3516
444,156.9214,786.3281
445,157.2266,785.3516
446,157.2266,786.3281
447,156.9214,787.3047
448,156.9214,784.375
449,156.9214,787.3047
450,156.9214,785.3516
451,157.5317,785.3516
452,157.5317,787.3047
453,157.5317,785.3516
454,157.2266,785.3516
455,157.2266,788.2813
456,156.9214,785.3516
457,156.9214,785.3516
458,157.2266,785.3516
459,156.9214,786.3281
460,157.2266,785.3516
461,156.9214,785.3516
462,157.5317,785.3516
463,157.2266,787.3047
464,156.9214,786.3281
465,157.2266,786.3281
466,157.5317,787.3047
467,156.9214,786.3281
468,156.9214,785.3516
469,157.2266,786.3281
470,157.2266,785.3516
471,157.2266,787.3047
472,157.2266,789.2578
473,156.9214,785.3516
474,156.9214,788.2813
475,157.2266,786.3281
476,157.2266,788.2813
477,156.9214,786.3281
478,157.2266,784.375
479,157.2266,785.3516
480,157.2266,786.3281
481,157.2266,785.3516
482,157.2266,785.3516
483,157.2266,783.3984
484,157.5317,785.3516
485,157.5317,786.3281
486,156.9214,785.3516
487,157.2266,785.3516
488,157.2266,787.3047
489,157.2266,786.3281
490,157.5317,787.3047
491,157.5317,787.3047
492,157.2266,786.3281
493,157.2266,785.3516
494,157.2266,787.3047
495,156.9214,785.3516
496,157.2266,786.3281
497,157.2266,787.3047
498,156.9214,785.3516
499,157.2266,787.3047
500,157.5317,785.3516
501,157.2266,786.3281
502,157.5317,787.3047
503,156.9214,785.3516
504,157.5317,785.3516
505,157.2266,789.2578
506,157.2266,785.3516
507,157.2266,785.3516
508,157.2266,785.3516
509,157.2266,786.3281
510,157.2266,786.3281
511,156.9214,786.3281
512,156.9214,783.3984
513,156.9214,786.3281
514,157.2266,788.2813
515,156.9214,785.3516
516,157.2266,786.3281
517,156.9214,786.3281
518,157.2266,785.3516
519,157.2266,797.0703
520,157.2266,785.3516
521,157.2266,785.3516
522,157.2266,800
523,157.2266,784.375
524,156.9214,787.3047
525,156.9214,785.3516
526,157.2266,786.3281
527,156.9214,787.3047
528,157.2266,785.3516
529,157.2266,786.3281
530,157.2266,787.3047
531,156.9214,785.3516
532,157.2266,785.3516
533,157.2266,785.3516
534,156.9214,786.3281
535,157.2266,786.3281
536,157.2266,786.3281
537,157.2266,785.3516
538,157.5317,787.3047
539,157.5317,788.2813
540,156.9214,786.3281
541,157.2266,786.3281
542,156.9214,787.3047
543,156.9214,785.3516
544,157.2266,788.2813
545,157.2266,785.3516
546,157.5317,785.3516
547,157.2266,787.3047
548,157.2266,784.375
549,156.9214,787.3047
550,157.2266,785.3516
551,157.2266,787.3047
552,157.2266,786.3281
553,157.2266,785.3516
554,157.5317,785.3516
555,157.2266,788.2813
556,157.2266,785.3516
557,157.2266,785.3516
558,157.2266,785.3516
559,157.2266,787.3047
560,157.2266,787.3047
561,156.9214,785.3516
562,156.9214,785.3516
563,157.2266,788.2813
564,156.9214,786.3281
565,157.2266,787.3047
566,157.2266,787.3047
567,156.9214,786.3281
568,157.2266,785.3516
569,157.2266,785.3516
570,157.2266,784.375
571,157.2266,787.3047
572,156.9214,788.2813
573,157.2266,785.3516
574,156.9214,786.3281
575,156.9214,785.3516
576,157.2266,785.3516
577,156.9214,788.2813
578,157.2266,785.3516
579,157.2266,787.3047
580,156.9214,787.3047
581,156.9214,785.3516
582,157.2266,785.3516
583,156.9214,786.3281
584,157.2266,787.3047
585,157.2266,787.3047
586,157.5317,785.3516
587,156.9214,786.3281
588,156.9214,788.2813
589,157.5317,785.3516
590,157.2266,788.2813
591,157.2266,788.2813
592,156.9214,785.3516
593,156.9214,786.3281
594,157.2266,785.3516
595,157.2266,786.3281
596,157.2266,788.2813
597,156.9214,786.3281
598,157.5317,785.3516
599,157.2266,785.3516
600,157.8369,785.3516
601,157.2266,785.3516
602,157.5317,785.3516
603,157.2266,785.3516
604,157.5317,787.3047
605,156.9214,786.3281
606,157.2266,785.3516
607,157.2266,785.3516
608,157.2266,787.3047
609,157.2266,786.3281
610,156.9214,787.3047
611,156.9214,785.3516
612,157.2266,787.3047
613,156.9214,788.2813
614,157.2266,784.375
615,157.2266,788.2813
616,156.9214,786.3281
617,157.2266,785.3516
618,157.2266,788.2813
619,157.5317,785.3516
620,157.2266,786.3281
621,157.2266,788.2813
622,157.2266,789.2578
623,157.2266,787.3047
624,157.2266,788.2813
625,157.2266,797.0703
626,156.9214,785.3516
627,157.2266,786.3281
628,157.2266,786.3281
629,156.9214,788.2813
630,156.9214,786.3281
631,156.9214,785.3516
632,157.2266,785.3516
633,157.2266,786.3281
634,157.2266,786.3281
635,157.5317,787.3047
636,157.2266,785.3516
637,157.2266,788.2813
638,157.2266,787.3047
639,157.2266,785.3516
640,157.2266,786.3281
641,157.2266,787.3047
642,157.2266,785.3516
643,157.2266,787.3047
644,156.9214,785.3516
645,156.9214,787.3047
646,157.2266,788.2813
647,157.2266,784.375
648,157.2266,787.3047
649,157.2266,785.3516
650,157.5317,785.3516
651,157.2266,785.3516
652,157.5317,785.3516
653,157.5317,786.3281
654,157.2266,788.2813
655,157.2266,786.3281
656,157.2266,785.3516
657,156.9214,787.3047
