Time (ms),Brass 500 PSI,Brass 1600 PSI
1,127.9297,129.1016
2,127.9297,128.125
3,127.9297,128.125
4,127.9297,127.1484
5,127.9297,128.125
6,128.2349,128.125
7,127.9297,129.1016
8,127.6245,129.1016
9,128.2349,128.125
10,127.6245,128.125
11,127.9297,128.125
12,127.9297,129.1016
13,127.9297,129.1016
14,127.9297,128.125
15,127.9297,129.1016
16,131.897,128.125
17,127.9297,128.125
18,127.9297,128.125
19,128.2349,129.1016
20,128.2349,128.125
21,129.7607,128.125
22,128.8452,127.1484
23,127.9297,129.1016
24,127.6245,129.1016
25,127.9297,127.1484
26,127.9297,128.125
27,127.9297,129.1016
28,127.9297,129.1016
29,127.6245,128.125
30,127.6245,128.125
31,127.9297,129.1016
32,127.6245,129.1016
33,127.6245,128.125
34,127.9297,127.1484
35,127.6245,129.1016
36,127.9297,127.1484
37,128.2349,128.125
38,128.2349,128.125
39,128.2349,128.125
40,127.9297,128.125
41,127.6245,128.125
42,127.9297,128.125
43,127.6245,127.1484
44,127.9297,127.1484
45,127.9297,128.125
46,127.9297,128.125
47,127.9297,127.1484
48,127.9297,129.1016
49,127.9297,128.125
50,127.9297,127.1484
51,127.9297,129.1016
52,127.9297,128.125
53,127.9297,128.125
54,127.9297,128.125
55,127.9297,127.1484
56,127.9297,127.1484
57,127.9297,128.125
58,127.9297,128.125
59,127.9297,127.1484
60,127.6245,129.1016
61,127.3193,128.125
62,127.9297,128.125
63,127.9297,129.1016
64,127.9297,127.1484
65,127.9297,129.1016
66,127.9297,128.125
67,127.6245,128.125
68,128.2349,127.1484
69,127.9297,127.1484
70,127.9297,129.1016
71,128.2349,129.1016
72,127.9297,127.1484
73,128.2349,129.1016
74,127.9297,129.1016
75,127.9297,128.125
76,127.9297,128.125
77,127.9297,128.125
78,127.9297,128.125
79,127.9297,128.125
80,127.6245,128.125
81,127.9297,127.1484
82,127.9297,128.125
83,127.6245,128.125
84,127.9297,128.125
85,127.6245,128.125
86,128.2349,128.125
87,127.9297,128.125
88,127.9297,128.125
89,127.9297,127.1484
90,128.2349,129.1016
91,127.9297,129.1016
92,127.9297,128.125
93,127.9297,128.125
94,127.9297,128.125
95,128.2349,128.125
96,127.9297,129.1016
97,127.9297,127.1484
98,128.2349,128.125
99,127.9297,129.1016
100,127.9297,127.1484
101,128.2349,128.125
102,127.9297,127.1484
103,127.9297,129.1016
104,127.9297,127.1484
105,127.9297,126.1719
106,128.2349,127.1484
107,127.9297,129.1016
108,127.9297,128.125
109,127.6245,128.125
110,127.9297,129.1016
111,127.9297,128.125
112,127.9297,129.1016
113,127.9297,129.1016
114,127.9297,127.1484
115,127.9297,129.1016
116,127.9297,129.1016
117,127.6245,127.1484
118,128.2349,128.125
119,127.9297,127.1484
