Time (ms),Brass 500 PSI,Brass 1600 PSI
1,161.8042,864.4531
2,162.1094,866.4063
3,161.499,865.4297
4,162.1094,864.4531
5,161.8042,866.4063
6,161.8042,863.4766
7,162.1094,864.4531
8,161.8042,867.3828
9,161.8042,864.4531
10,161.8042,865.4297
11,161.8042,864.4531
12,161.8042,866.4063
13,162.1094,864.4531
14,161.8042,864.4531
15,162.1094,864.4531
16,161.8042,868.3594
17,161.8042,866.4063
18,161.8042,864.4531
19,161.8042,866.4063
20,161.499,865.4297
21,161.8042,866.4063
22,161.8042,867.3828
23,161.8042,862.5
24,161.8042,865.4297
25,161.8042,867.3828
26,161.8042,864.4531
27,161.8042,865.4297
28,161.499,864.4531
29,161.8042,864.4531
30,161.8042,865.4297
31,161.8042,863.4766
32,161.8042,864.4531
33,161.8042,867.3828
34,161.8042,866.4063
35,161.8042,864.4531
36,162.1094,864.4531
37,161.8042,865.4297
38,161.8042,864.4531
39,161.8042,864.4531
40,161.8042,864.4531
41,161.8042,865.4297
42,161.499,865.4297
43,161.8042,863.4766
44,161.8042,864.4531
45,161.8042,866.4063
46,161.8042,865.4297
47,162.1094,866.4063
48,161.8042,864.4531
49,162.1094,865.4297
50,161.8042,867.3828
51,161.8042,865.4297
52,161.8042,867.3828
53,161.499,866.4063
54,161.8042,864.4531
55,161.8042,864.4531
56,161.8042,864.4531
57,161.8042,864.4531
58,161.8042,866.4063
59,161.499,866.4063
60,161.8042,863.4766
61,161.499,864.4531
62,162.1094,864.4531
63,161.8042,865.4297
64,161.8042,866.4063
65,162.1094,864.4531
66,162.1094,864.4531
67,162.1094,866.4063
68,161.8042,864.4531
69,161.8042,864.4531
70,162.1094,865.4297
71,161.8042,864.4531
72,161.8042,865.4297
73,161.8042,865.4297
74,161.8042,864.4531
75,162.1094,864.4531
76,161.8042,867.3828
77,161.8042,865.4297
78,162.1094,866.4063
79,161.8042,865.4297
80,162.1094,864.4531
81,165.7715,867.3828
82,161.8042,864.4531
83,162.4146,864.4531
84,162.1094,866.4063
85,161.8042,866.4063
86,161.8042,867.3828
87,161.499,865.4297
88,161.8042,866.4063
89,162.1094,866.4063
90,161.499,866.4063
91,161.8042,863.4766
92,162.1094,865.4297
93,161.499,867.3828
94,161.8042,864.4531
95,162.1094,863.4766
96,161.8042,864.4531
97,162.1094,864.4531
98,161.8042,867.3828
99,161.8042,866.4063
100,161.8042,864.4531
101,161.8042,866.4063
102,161.499,864.4531
103,162.1094,865.4297
104,161.8042,865.4297
105,162.1094,865.4297
106,161.8042,866.4063
107,161.8042,867.3828
108,161.8042,864.4531
109,161.8042,864.4531
110,161.8042,866.4063
111,161.499,866.4063
112,161.8042,865.4297
113,161.8042,873.2422
114,161.8042,870.3125
115,161.8042,867.3828
116,161.8042,865.4297
117,161.8042,864.4531
118,161.8042,867.3828
119,161.8042,864.4531
120,161.8042,864.4531
121,161.8042,864.4531
122,161.8042,864.4531
123,161.499,866.4063
124,161.8042,864.4531
125,161.8042,864.4531
126,161.8042,867.3828
127,161.8042,864.4531
128,161.8042,865.4297
129,161.8042,866.4063
130,161.8042,864.4531
131,161.8042,867.3828
132,161.8042,864.4531
133,162.1094,863.4766
134,161.8042,867.3828
135,161.8042,864.4531
136,161.8042,865.4297
137,161.8042,864.4531
138,161.8042,865.4297
139,161.8042,866.4063
140,161.8042,864.4531
141,161.8042,864.4531
142,161.8042,866.4063
143,161.8042,864.4531
144,161.8042,864.4531
145,163.0249,864.4531
146,161.8042,864.4531
147,162.1094,865.4297
148,161.8042,863.4766
149,162.1094,865.4297
150,161.8042,868.3594
151,161.499,864.4531
152,162.1094,867.3828
153,161.8042,866.4063
154,161.8042,864.4531
155,161.8042,865.4297
