Time (ms),Brass 500 PSI,Brass 1600 PSI
1,159.668,793.1641
2,159.668,794.1406
3,159.3628,793.1641
4,159.9731,792.1875
5,159.9731,793.1641
6,159.3628,794.1406
7,159.3628,791.2109
8,159.668,791.2109
9,159.3628,793.1641
10,159.3628,793.1641
11,159.9731,792.1875
12,159.668,793.1641
13,159.9731,792.1875
14,159.668,794.1406
15,159.9731,793.1641
16,160.2783,791.2109
17,159.9731,793.1641
18,159.9731,792.1875
19,159.9731,791.2109
20,159.9731,791.2109
21,159.668,792.1875
22,159.9731,793.1641
23,159.668,793.1641
24,159.668,792.1875
25,159.9731,791.2109
26,159.668,793.1641
27,160.2783,792.1875
28,159.9731,793.1641
29,159.9731,793.1641
30,159.9731,792.1875
31,159.668,794.1406
32,159.668,793.1641
33,159.668,791.2109
34,160.2783,794.1406
35,159.3628,795.1172
36,159.668,793.1641
37,159.668,793.1641
38,159.668,792.1875
39,159.9731,793.1641
40,159.668,793.1641
41,159.668,792.1875
42,159.9731,791.2109
43,159.3628,793.1641
44,159.668,792.1875
45,159.9731,792.1875
46,159.9731,793.1641
47,160.2783,792.1875
48,159.9731,794.1406
49,159.668,793.1641
50,159.9731,791.2109
51,159.9731,791.2109
52,159.668,792.1875
53,159.9731,793.1641
54,159.9731,794.1406
55,159.668,790.2344
56,159.9731,794.1406
57,159.668,793.1641
58,159.668,791.2109
59,159.9731,792.1875
60,159.9731,793.1641
61,159.668,793.1641
62,159.668,792.1875
63,159.668,791.2109
64,160.2783,792.1875
65,160.2783,793.1641
66,159.668,793.1641
67,159.9731,792.1875
68,159.668,795.1172
69,159.3628,792.1875
70,159.668,793.1641
71,159.9731,793.1641
72,159.9731,791.2109
73,159.9731,793.1641
74,159.3628,793.1641
75,159.668,791.2109
76,159.668,791.2109
77,159.668,791.2109
78,159.668,793.1641
79,160.2783,794.1406
80,159.668,791.2109
81,159.9731,793.1641
82,159.9731,793.1641
83,159.668,792.1875
84,159.9731,793.1641
85,159.9731,792.1875
86,159.3628,795.1172
87,159.3628,791.2109
88,159.9731,793.1641
89,159.668,792.1875
90,159.9731,793.1641
91,159.668,793.1641
92,159.9731,791.2109
93,159.668,793.1641
94,159.668,793.1641
95,159.9731,793.1641
96,160.2783,793.1641
97,160.2783,790.2344
98,159.9731,790.2344
99,159.9731,793.1641
100,159.668,790.2344
101,159.9731,792.1875
102,159.668,791.2109
103,159.668,793.1641
104,159.9731,793.1641
105,159.668,791.2109
106,160.2783,791.2109
107,160.2783,793.1641
108,159.668,792.1875
109,160.2783,792.1875
110,159.9731,791.2109
111,160.2783,793.1641
112,159.668,792.1875
113,159.668,792.1875
114,160.2783,791.2109
115,159.9731,793.1641
116,159.3628,793.1641
117,159.668,791.2109
118,159.668,794.1406
119,159.668,793.1641
120,159.668,793.1641
121,159.9731,794.1406
122,159.668,791.2109
123,159.9731,792.1875
124,159.668,794.1406
125,159.668,792.1875
126,159.9731,792.1875
127,159.668,792.1875
128,159.9731,792.1875
129,159.9731,793.1641
130,159.9731,792.1875
131,160.2783,791.2109
132,159.9731,793.1641
133,159.3628,793.1641
134,159.668,792.1875
135,160.2783,792.1875
136,159.9731,794.1406
137,159.668,792.1875
138,159.668,793.1641
139,159.668,791.2109
140,159.668,793.1641
141,159.3628,793.1641
142,159.668,791.2109
143,159.9731,793.1641
144,159.668,792.1875
145,159.9731,793.1641
146,160.2783,793.1641
147,159.9731,790.2344
148,160.2783,793.1641
149,159.9731,794.1406
150,159.9731,792.1875
151,159.9731,792.1875
152,159.668,793.1641
153,159.9731,792.1875
154,159.9731,793.1641
155,159.668,791.2109
156,159.9731,791.2109
157,159.668,793.1641
158,159.668,793.1641
159,159.9731,792.1875
160,159.9731,791.2109
161,159.668,792.1875
162,159.9731,792.1875
163,159.668,792.1875
164,160.2783,792.1875
165,160.2783,794.1406
166,159.668,792.1875
167,159.9731,791.2109
168,159.668,793.1641
169,159.668,793.1641
170,159.9731,793.1641
171,159.9731,789.2578
172,159.9731,791.2109
173,159.9731,791.2109
174,159.668,794.1406
175,159.668,790.2344
176,160.2783,791.2109
177,159.9731,791.2109
178,159.9731,792.1875
179,160.2783,793.1641
180,159.668,791.2109
181,160.2783,793.1641
182,159.9731,794.1406
183,159.668,792.1875
184,159.9731,792.1875
185,160.2783,793.1641
186,159.9731,792.1875
187,160.2783,792.1875
188,159.668,792.1875
189,160.2783,792.1875
190,159.9731,793.1641
191,159.3628,793.1641
192,159.9731,791.2109
193,159.668,793.1641
194,159.9731,792.1875
195,159.9731,793.1641
196,160.2783,793.1641
197,159.668,791.2109
198,160.2783,793.1641
199,159.668,794.1406
200,159.668,792.1875
201,159.9731,791.2109
202,159.9731,791.2109
203,159.668,792.1875
204,159.9731,793.1641
205,159.668,791.2109
206,159.668,791.2109
207,159.668,793.1641
208,159.3628,793.1641
209,159.668,792.1875
210,160.2783,792.1875
211,159.9731,792.1875
212,159.9731,791.2109
213,159.9731,793.1641
214,159.9731,791.2109
215,159.668,793.1641
216,159.9731,793.1641
217,159.668,791.2109
218,159.668,793.1641
219,159.668,794.1406
220,159.668,793.1641
221,159.9731,793.1641
222,159.668,791.2109
223,159.9731,791.2109
224,159.668,794.1406
225,159.668,792.1875
226,159.9731,793.1641
227,159.668,791.2109
228,159.9731,791.2109
229,159.9731,792.1875
230,160.2783,792.1875
231,160.2783,789.2578
232,159.9731,792.1875
233,159.668,794.1406
234,159.668,792.1875
235,159.9731,790.2344
236,160.2783,792.1875
237,159.9731,792.1875
238,159.3628,793.1641
239,159.9731,791.2109
240,159.9731,792.1875
241,159.9731,793.1641
242,159.3628,792.1875
243,159.9731,793.1641
244,159.9731,793.1641
245,159.9731,801.9531
246,159.9731,793.1641
247,159.668,792.1875
248,160.2783,791.2109
249,159.9731,793.1641
250,160.2783,793.1641
251,159.9731,794.1406
252,159.668,793.1641
253,159.9731,792.1875
254,159.668,792.1875
255,159.668,793.1641
256,159.668,790.2344
257,159.9731,792.1875
258,159.9731,794.1406
259,159.9731,791.2109
260,159.9731,792.1875
261,159.9731,792.1875
262,159.9731,793.1641
263,159.668,793.1641
264,159.668,792.1875
265,159.9731,789.2578
266,159.9731,793.1641
267,159.668,793.1641
268,159.668,792.1875
269,159.9731,793.1641
270,159.668,793.1641
271,159.9731,791.2109
272,159.3628,793.1641
273,159.9731,791.2109
274,160.2783,792.1875
275,160.2783,794.1406
276,159.9731,794.1406
277,159.668,794.1406
278,159.3628,791.2109
279,159.3628,796.0938
280,159.9731,795.1172
281,159.9731,791.2109
282,162.4146,791.2109
283,159.9731,793.1641
284,159.668,792.1875
285,159.668,793.1641
286,160.2783,792.1875
287,159.9731,793.1641
288,159.9731,793.1641
289,159.3628,792.1875
290,159.9731,791.2109
291,159.668,792.1875
292,159.668,792.1875
293,159.9731,791.2109
294,160.2783,792.1875
295,159.9731,793.1641
296,159.9731,793.1641
297,159.668,793.1641
298,159.9731,791.2109
299,160.2783,792.1875
300,159.668,793.1641
301,159.9731,793.1641
302,159.668,792.1875
303,159.668,792.1875
304,159.668,791.2109
305,159.3628,793.1641
306,159.9731,791.2109
307,159.9731,791.2109
308,159.9731,794.1406
309,160.2783,791.2109
310,160.2783,791.2109
311,159.9731,792.1875
312,159.9731,793.1641
313,160.2783,794.1406
314,159.9731,791.2109
315,160.2783,791.2109
316,159.9731,793.1641
317,159.668,792.1875
318,159.3628,793.1641
319,159.3628,797.0703
320,159.668,794.1406
321,159.9731,793.1641
322,159.3628,792.1875
323,159.668,790.2344
324,159.9731,792.1875
325,159.3628,793.1641
326,159.9731,793.1641
327,159.3628,792.1875
328,159.9731,791.2109
329,160.2783,792.1875
330,159.668,792.1875
331,160.2783,791.2109
332,160.5835,791.2109
333,159.668,794.1406
334,159.9731,791.2109
335,159.9731,790.2344
336,159.9731,792.1875
337,159.9731,792.1875
338,159.9731,793.1641
339,159.668,790.2344
340,159.9731,792.1875
341,159.9731,793.1641
342,159.668,793.1641
343,159.9731,791.2109
344,159.9731,793.1641
345,159.668,793.1641
346,159.9731,793.1641
347,159.668,792.1875
348,160.2783,791.2109
349,160.2783,792.1875
350,159.9731,795.1172
351,159.9731,793.1641
352,159.668,793.1641
353,159.668,792.1875
354,159.3628,791.2109
355,161.1938,793.1641
356,159.668,792.1875
357,159.9731,790.2344
358,159.9731,793.1641
359,159.9731,792.1875
360,159.668,792.1875
361,160.2783,793.1641
362,159.9731,793.1641
363,159.9731,793.1641
364,159.668,793.1641
365,159.9731,792.1875
366,160.2783,792.1875
367,159.9731,794.1406
368,159.668,791.2109
369,159.9731,793.1641
370,159.668,792.1875
371,159.668,791.2109
372,159.668,793.1641
373,159.668,792.1875
374,159.668,790.2344
375,160.2783,793.1641
376,159.668,792.1875
377,159.9731,793.1641
378,159.668,794.1406
379,159.9731,792.1875
380,160.2783,793.1641
381,160.2783,793.1641
382,159.9731,792.1875
383,160.2783,791.2109
384,159.668,793.1641
385,159.3628,793.1641
386,159.668,792.1875
387,159.668,793.1641
388,159.668,792.1875
389,159.668,794.1406
390,159.668,793.1641
391,159.668,792.1875
392,160.2783,793.1641
393,159.3628,791.2109
394,159.9731,797.0703
395,159.9731,792.1875
396,160.2783,793.1641
397,160.5835,794.1406
398,159.3628,793.1641
399,159.9731,792.1875
400,159.668,792.1875
401,159.668,792.1875
402,160.2783,793.1641
403,159.668,794.1406
404,159.9731,793.1641
405,159.9731,793.1641
406,159.668,793.1641
407,159.3628,793.1641
408,159.9731,791.2109
409,159.9731,793.1641
410,159.9731,793.1641
411,159.668,792.1875
412,159.9731,793.1641
413,159.9731,791.2109
414,159.9731,795.1172
415,159.3628,794.1406
416,159.668,792.1875
417,159.9731,793.1641
418,159.668,793.1641
419,159.668,792.1875
420,159.668,792.1875
421,159.668,792.1875
422,159.9731,793.1641
423,159.3628,795.1172
424,159.668,793.1641
425,159.9731,791.2109
426,159.9731,791.2109
427,159.9731,791.2109
428,159.668,792.1875
429,160.2783,793.1641
430,159.9731,791.2109
431,159.668,793.1641
432,159.9731,794.1406
433,159.9731,792.1875
434,159.9731,793.1641
435,159.9731,792.1875
436,159.668,793.1641
437,159.668,791.2109
438,159.668,792.1875
439,159.9731,793.1641
440,159.668,793.1641
441,159.668,792.1875
442,159.668,792.1875
443,159.668,793.1641
444,159.668,793.1641
445,159.9731,793.1641
446,160.2783,793.1641
