Time (ms),Brass 500 PSI,Brass 1600 PSI
1,162.7197,785.3516
2,163.0249,786.3281
3,163.3301,784.375
4,163.0249,786.3281
5,163.0249,785.3516
6,163.0249,785.3516
7,164.5508,785.3516
8,163.0249,785.3516
9,163.0249,787.3047
10,163.0249,784.375
11,163.0249,784.375
12,163.3301,785.3516
13,163.0249,785.3516
14,163.0249,788.2813
15,163.0249,785.3516
16,163.0249,783.3984
17,163.6353,786.3281
18,163.0249,784.375
19,163.0249,785.3516
20,163.0249,786.3281
21,163.0249,785.3516
22,163.0249,786.3281
23,163.0249,785.3516
24,163.0249,785.3516
25,163.0249,785.3516
26,163.0249,787.3047
27,163.0249,786.3281
28,163.0249,785.3516
29,163.0249,786.3281
30,163.3301,785.3516
31,162.7197,787.3047
32,163.0249,786.3281
33,163.0249,783.3984
34,163.0249,786.3281
35,163.0249,786.3281
36,163.0249,784.375
37,163.3301,782.4219
38,162.7197,784.375
39,163.0249,786.3281
40,163.0249,785.3516
41,162.7197,784.375
42,163.0249,785.3516
43,163.0249,784.375
44,163.6353,785.3516
45,163.0249,785.3516
46,163.3301,786.3281
47,163.6353,785.3516
48,163.0249,787.3047
49,163.0249,786.3281
50,163.0249,784.375
51,163.0249,786.3281
52,163.3301,785.3516
53,162.7197,786.3281
54,163.0249,785.3516
55,163.0249,785.3516
56,163.0249,786.3281
57,162.7197,786.3281
58,163.0249,785.3516
59,163.0249,785.3516
60,163.0249,785.3516
61,163.0249,785.3516
62,163.3301,785.3516
63,163.0249,785.3516
64,163.3301,785.3516
65,163.0249,786.3281
66,162.7197,786.3281
67,163.0249,784.375
68,163.0249,785.3516
69,166.0767,784.375
70,163.0249,785.3516
71,163.0249,786.3281
72,163.0249,784.375
73,163.3301,786.3281
74,163.0249,786.3281
75,162.7197,784.375
76,163.0249,785.3516
77,163.3301,785.3516
78,163.0249,786.3281
79,163.3301,785.3516
80,163.0249,785.3516
81,163.0249,785.3516
82,163.0249,786.3281
83,163.0249,785.3516
84,163.0249,784.375
85,162.7197,787.3047
86,163.0249,785.3516
87,163.0249,786.3281
88,163.3301,785.3516
89,163.3301,785.3516
90,163.0249,787.3047
91,162.7197,786.3281
92,163.0249,783.3984
93,163.3301,784.375
94,163.0249,783.3984
95,163.3301,785.3516
96,163.0249,785.3516
97,163.0249,783.3984
