Time (ms),Brass 500 PSI,Brass 1600 PSI
1,160.5835,1094.922
2,160.8887,1090.039
3,161.1938,1091.992
4,160.5835,1095.898
5,160.5835,1091.016
6,160.5835,1093.945
7,160.5835,1092.969
8,160.8887,1093.945
9,160.5835,1094.922
10,160.5835,1091.016
11,161.1938,1091.016
12,160.5835,1094.922
13,160.5835,1093.945
14,160.8887,1092.969
15,160.8887,1091.016
16,160.5835,1091.992
17,160.5835,1091.016
18,160.5835,1093.945
19,160.8887,1090.039
20,161.499,1091.992
21,160.5835,1095.898
22,160.5835,1091.016
23,161.1938,1091.992
24,160.8887,1094.922
25,160.5835,1091.992
26,160.8887,1095.898
27,160.5835,1091.016
28,160.8887,1091.016
29,161.1938,1095.898
30,160.5835,1091.016
31,160.5835,1093.945
32,160.8887,1095.898
33,160.8887,1093.945
34,160.5835,1091.992
35,160.5835,1092.969
36,161.1938,1091.016
37,161.1938,1093.945
38,160.5835,1093.945
39,160.8887,1094.922
40,160.5835,1091.992
41,161.1938,1091.992
42,160.8887,1091.992
43,161.1938,1092.969
44,160.5835,1091.016
45,160.8887,1091.992
46,160.8887,1093.945
47,160.8887,1091.992
48,161.499,1091.016
49,160.8887,1092.969
50,161.1938,1091.992
51,160.8887,1094.922
52,161.1938,1091.016
53,161.1938,1091.016
54,161.1938,1094.922
55,160.5835,1091.992
56,160.5835,1093.945
57,160.5835,1094.922
58,160.5835,1093.945
59,160.8887,1092.969
60,160.5835,1092.969
61,160.8887,1090.039
62,160.8887,1092.969
63,160.5835,1102.734
64,160.8887,1102.734
65,160.5835,1088.086
66,161.1938,1099.805
67,160.5835,1091.016
68,160.8887,1095.898
69,160.8887,1090.039
70,161.1938,1091.016
71,161.1938,1095.898
72,160.5835,1091.016
73,161.1938,1091.992
74,161.1938,1093.945
75,160.5835,1093.945
76,160.5835,1094.922
77,160.5835,1091.992
78,160.5835,1090.039
79,160.5835,1095.898
80,160.5835,1091.992
81,160.5835,1094.922
82,160.5835,1094.922
83,160.5835,1094.922
84,160.5835,1092.969
85,160.5835,1092.969
86,160.8887,1091.016
87,160.8887,1092.969
88,160.8887,1094.922
89,160.8887,1095.898
90,160.5835,1091.992
91,161.1938,1091.992
92,160.8887,1091.016
93,160.8887,1095.898
94,160.5835,1091.992
95,161.1938,1091.016
96,160.8887,1094.922
97,160.5835,1091.016
98,161.1938,1091.016
99,160.8887,1091.992
100,161.1938,1093.945
101,160.8887,1093.945
102,160.8887,1093.945
103,160.8887,1091.016
104,160.8887,1091.016
105,160.5835,1095.898
106,160.8887,1091.992
107,160.8887,1095.898
108,160.5835,1091.992
109,160.5835,1091.992
110,160.5835,1094.922
111,160.5835,1091.992
112,160.8887,1090.039
113,160.8887,1095.898
114,160.5835,1093.945
115,160.5835,1093.945
116,160.5835,1091.992
117,160.5835,1091.992
118,160.8887,1094.922
119,160.5835,1095.898
120,160.8887,1090.039
121,161.1938,1091.992
122,160.5835,1092.969
123,160.8887,1093.945
124,160.8887,1091.016
125,160.8887,1095.898
126,160.5835,1091.992
127,160.8887,1096.875
128,160.5835,1094.922
129,160.5835,1090.039
130,160.8887,1095.898
131,161.1938,1090.039
132,160.8887,1093.945
133,160.5835,1090.039
134,161.1938,1094.922
135,161.1938,1093.945
136,160.8887,1095.898
137,160.5835,1092.969
138,160.5835,1091.992
139,160.5835,1093.945
140,160.8887,1095.898
141,160.5835,1094.922
142,160.5835,1094.922
143,160.5835,1091.992
144,160.5835,1095.898
145,160.5835,1093.945
146,160.5835,1090.039
147,161.1938,1093.945
148,160.5835,1093.945
149,160.8887,1091.016
150,160.8887,1094.922
151,160.5835,1091.992
152,161.1938,1095.898
153,160.5835,1095.898
154,160.5835,1091.016
155,161.1938,1093.945
156,160.5835,1091.992
157,160.8887,1091.992
158,160.5835,1091.992
159,160.5835,1091.992
160,161.1938,1092.969
161,160.5835,1095.898
162,160.5835,1093.945
163,161.1938,1091.016
164,160.5835,1091.992
165,161.1938,1092.969
166,160.8887,1094.922
167,160.5835,1093.945
168,160.8887,1091.016
169,161.1938,1093.945
170,160.5835,1094.922
171,160.8887,1091.016
172,160.8887,1095.898
173,160.5835,1095.898
174,160.5835,1091.016
175,160.8887,1093.945
176,160.5835,1091.016
177,160.8887,1092.969
178,160.5835,1095.898
179,160.5835,1091.992
180,160.8887,1091.992
181,160.8887,1091.992
182,161.1938,1091.992
183,160.8887,1091.992
184,160.8887,1093.945
185,161.1938,1091.016
186,161.1938,1094.922
187,160.5835,1094.922
188,160.8887,1091.016
189,160.8887,1091.992
190,160.8887,1093.945
191,160.5835,1094.922
192,160.8887,1093.945
193,160.5835,1088.086
194,161.1938,1093.945
195,160.5835,1096.875
196,160.5835,1091.992
197,160.8887,1094.922
198,160.5835,1093.945
199,160.8887,1091.992
200,160.5835,1095.898
201,161.1938,1091.016
202,161.1938,1092.969
203,160.8887,1095.898
204,160.5835,1093.945
205,160.8887,1091.016
206,160.5835,1092.969
207,160.5835,1091.992
208,160.5835,1091.992
209,160.5835,1093.945
210,160.8887,1091.016
211,160.8887,1094.922
212,160.5835,1094.922
213,160.5835,1090.039
214,160.8887,1091.992
215,160.5835,1091.992
216,160.8887,1094.922
217,161.1938,1093.945
218,160.8887,1091.016
219,161.1938,1092.969
220,160.5835,1095.898
221,160.5835,1091.992
222,161.1938,1095.898
223,160.5835,1095.898
224,160.5835,1091.992
225,160.8887,1091.992
226,160.5835,1091.992
227,160.8887,1091.992
228,160.5835,1094.922
229,160.5835,1092.969
230,160.5835,1091.992
231,164.2456,1091.992
232,161.1938,1091.016
233,160.8887,1092.969
234,163.0249,1093.945
235,160.8887,1091.016
236,160.5835,1095.898
237,160.8887,1094.922
238,160.5835,1090.039
239,160.8887,1091.016
240,161.1938,1092.969
241,160.5835,1094.922
242,160.5835,1094.922
243,160.5835,1091.016
244,161.1938,1092.969
245,160.5835,1095.898
246,160.5835,1091.992
247,161.1938,1095.898
248,160.5835,1094.922
249,160.5835,1091.992
250,160.8887,1091.992
251,160.8887,1091.016
252,160.8887,1091.016
253,160.5835,1094.922
254,160.5835,1093.945
255,161.1938,1091.992
256,160.5835,1091.992
257,160.8887,1091.992
258,160.8887,1091.992
259,160.5835,1093.945
260,160.8887,1091.016
261,161.1938,1093.945
262,160.5835,1095.898
263,160.5835,1090.039
264,160.8887,1091.016
265,160.5835,1092.969
266,160.5835,1091.016
267,161.1938,1104.688
268,160.8887,1091.016
269,161.1938,1091.992
270,160.5835,1095.898
271,160.5835,1091.992
272,160.8887,1095.898
273,160.5835,1095.898
274,160.5835,1092.969
275,160.5835,1091.016
276,160.5835,1091.016
277,160.5835,1091.016
278,160.5835,1095.898
279,160.5835,1093.945
280,160.8887,1091.016
281,160.5835,1092.969
282,161.1938,1091.016
283,161.1938,1092.969
284,160.8887,1092.969
285,160.8887,1091.992
286,161.1938,1094.922
287,160.5835,1095.898
