Time (ms),Brass 500 PSI,Brass 1600 PSI
1,159.0576,491.4063
2,159.3628,491.4063
3,159.3628,490.4297
4,159.3628,491.4063
5,159.3628,496.2891
6,159.3628,488.4766
7,159.668,490.4297
8,159.3628,490.4297
9,159.0576,491.4063
10,159.0576,489.4531
11,159.3628,491.4063
12,159.3628,490.4297
13,159.3628,490.4297
14,159.3628,490.4297
15,159.0576,490.4297
16,159.0576,490.4297
17,159.3628,491.4063
18,159.0576,491.4063
19,159.3628,490.4297
20,159.0576,490.4297
21,159.3628,490.4297
22,159.3628,491.4063
23,159.0576,491.4063
24,159.3628,490.4297
25,159.3628,489.4531
26,159.668,491.4063
27,159.0576,489.4531
28,159.3628,490.4297
29,159.3628,491.4063
30,159.3628,490.4297
31,159.3628,491.4063
32,158.7524,491.4063
33,159.0576,490.4297
34,159.3628,491.4063
35,159.3628,491.4063
36,159.3628,491.4063
37,159.3628,491.4063
38,159.3628,490.4297
39,159.3628,490.4297
40,159.0576,491.4063
41,159.3628,491.4063
42,159.3628,490.4297
43,159.3628,491.4063
44,159.3628,491.4063
45,159.0576,491.4063
46,159.0576,490.4297
47,159.0576,490.4297
48,159.3628,490.4297
49,159.3628,491.4063
50,159.0576,489.4531
51,159.3628,490.4297
52,159.3628,490.4297
53,159.0576,489.4531
54,159.3628,490.4297
55,159.3628,491.4063
56,159.668,490.4297
57,159.3628,491.4063
58,159.3628,490.4297
59,159.3628,489.4531
60,159.668,490.4297
61,159.3628,489.4531
62,159.3628,490.4297
63,159.0576,490.4297
64,158.7524,490.4297
65,159.3628,490.4297
66,159.0576,491.4063
67,159.0576,490.4297
68,159.0576,490.4297
69,158.7524,491.4063
70,159.0576,491.4063
71,159.3628,491.4063
72,159.3628,491.4063
73,159.3628,489.4531
74,159.3628,491.4063
75,159.0576,490.4297
76,159.0576,490.4297
77,159.3628,491.4063
78,159.0576,490.4297
79,159.3628,490.4297
80,159.0576,490.4297
81,159.0576,490.4297
82,159.3628,491.4063
83,159.0576,491.4063
84,159.0576,490.4297
85,159.3628,490.4297
86,159.3628,490.4297
87,159.3628,490.4297
88,159.3628,490.4297
89,159.3628,490.4297
90,159.3628,494.3359
91,159.3628,491.4063
92,159.0576,490.4297
93,159.0576,490.4297
94,159.3628,489.4531
95,159.3628,490.4297
96,159.0576,489.4531
97,159.0576,491.4063
98,159.0576,489.4531
99,159.3628,490.4297
100,159.0576,491.4063
101,159.0576,490.4297
102,159.3628,491.4063
103,159.0576,491.4063
104,159.0576,491.4063
105,159.3628,490.4297
106,159.3628,491.4063
107,159.3628,489.4531
108,159.668,490.4297
109,159.0576,490.4297
110,159.0576,489.4531
111,159.0576,491.4063
112,159.0576,491.4063
113,159.3628,491.4063
114,159.668,491.4063
115,159.3628,490.4297
116,159.3628,489.4531
117,159.3628,491.4063
118,158.7524,491.4063
119,159.3628,489.4531
120,159.3628,490.4297
121,159.0576,491.4063
122,159.3628,490.4297
123,159.3628,490.4297
124,159.3628,490.4297
125,159.668,491.4063
126,159.0576,491.4063
127,159.3628,491.4063
128,159.3628,490.4297
129,159.0576,491.4063
130,159.3628,489.4531
131,159.0576,491.4063
132,159.0576,491.4063
133,159.0576,489.4531
134,159.3628,491.4063
135,159.0576,489.4531
136,159.3628,490.4297
137,159.0576,491.4063
138,159.3628,490.4297
139,159.3628,491.4063
140,159.0576,491.4063
141,159.3628,490.4297
142,159.3628,491.4063
143,159.3628,491.4063
144,159.3628,491.4063
145,159.3628,490.4297
146,159.3628,489.4531
147,159.3628,489.4531
148,159.0576,491.4063
149,159.0576,490.4297
150,159.3628,489.4531
151,159.3628,491.4063
152,159.0576,489.4531
153,159.3628,490.4297
154,159.3628,490.4297
155,159.3628,490.4297
156,159.668,490.4297
157,159.0576,491.4063
158,159.668,490.4297
159,159.3628,490.4297
160,159.0576,491.4063
161,159.0576,491.4063
162,159.0576,490.4297
163,159.0576,491.4063
164,159.0576,491.4063
165,159.0576,491.4063
166,159.3628,490.4297
167,159.3628,489.4531
168,159.3628,491.4063
169,159.0576,491.4063
170,159.3628,490.4297
171,159.3628,490.4297
172,159.3628,489.4531
173,159.3628,491.4063
174,159.0576,491.4063
175,159.0576,490.4297
176,159.3628,490.4297
177,159.0576,489.4531
178,159.3628,491.4063
179,159.3628,490.4297
180,159.3628,491.4063
181,159.0576,490.4297
182,159.0576,491.4063
183,159.0576,490.4297
184,159.3628,489.4531
185,159.3628,491.4063
186,159.3628,490.4297
187,159.3628,491.4063
188,159.3628,489.4531
