Time (ms),Brass 500 PSI,Brass 1600 PSI
1,159.9731,800.9766
2,159.9731,797.0703
3,159.9731,797.0703
4,159.3628,797.0703
5,159.668,796.0938
6,159.668,797.0703
7,159.9731,796.0938
8,159.9731,797.0703
9,159.3628,799.0234
10,159.9731,796.0938
11,159.9731,808.7891
12,159.9731,797.0703
13,159.9731,797.0703
14,159.668,800.9766
15,159.9731,797.0703
16,159.9731,797.0703
17,159.9731,799.0234
18,159.668,804.8828
19,159.9731,797.0703
20,159.668,799.0234
21,159.9731,797.0703
22,159.9731,794.1406
23,159.668,797.0703
24,159.9731,797.0703
25,159.668,799.0234
26,159.668,797.0703
27,159.9731,797.0703
28,159.668,796.0938
29,159.9731,797.0703
30,159.9731,797.0703
31,159.9731,797.0703
32,159.668,797.0703
33,159.9731,799.0234
34,159.668,796.0938
35,159.9731,796.0938
36,159.9731,798.0469
37,159.668,797.0703
38,159.668,797.0703
39,159.3628,797.0703
40,159.668,797.0703
41,159.9731,798.0469
42,159.9731,797.0703
43,159.9731,796.0938
44,159.668,799.0234
45,159.668,797.0703
46,160.2783,795.1172
47,160.2783,795.1172
48,159.9731,797.0703
49,160.2783,799.0234
50,159.668,797.0703
51,159.9731,796.0938
52,159.9731,798.0469
53,159.668,796.0938
54,160.2783,797.0703
55,159.668,797.0703
56,159.668,797.0703
57,159.9731,797.0703
58,159.9731,800
59,159.668,796.0938
60,159.668,797.0703
61,159.9731,797.0703
62,159.668,799.0234
63,159.9731,797.0703
64,159.668,797.0703
65,159.9731,797.0703
66,160.2783,799.0234
67,159.668,797.0703
68,159.9731,797.0703
69,159.9731,799.0234
70,163.0249,797.0703
71,159.668,796.0938
72,160.2783,796.0938
73,159.9731,796.0938
74,159.9731,799.0234
75,159.9731,798.0469
76,159.668,796.0938
77,159.668,797.0703
78,159.668,796.0938
79,159.668,797.0703
80,159.9731,797.0703
81,159.668,798.0469
82,159.9731,797.0703
83,159.9731,800
84,159.9731,797.0703
85,159.668,796.0938
86,159.9731,799.0234
87,159.3628,799.0234
88,159.3628,799.0234
89,159.9731,797.0703
90,159.9731,796.0938
91,159.9731,799.0234
92,159.668,798.0469
93,159.668,796.0938
94,159.668,798.0469
95,159.668,797.0703
96,159.668,796.0938
97,160.2783,797.0703
98,159.668,797.0703
99,160.2783,797.0703
100,159.668,799.0234
101,159.668,796.0938
102,160.2783,796.0938
103,159.668,796.0938
104,159.668,797.0703
105,159.668,798.0469
106,159.668,798.0469
107,159.9731,797.0703
108,159.9731,799.0234
109,159.668,798.0469
110,159.9731,795.1172
111,159.9731,799.0234
112,159.9731,797.0703
113,159.9731,799.0234
114,159.9731,796.0938
115,159.9731,797.0703
116,159.9731,797.0703
117,159.668,799.0234
118,159.9731,797.0703
119,160.2783,797.0703
120,159.3628,799.0234
121,159.668,794.1406
122,159.9731,797.0703
123,159.668,797.0703
124,159.9731,799.0234
125,159.9731,798.0469
126,159.668,797.0703
127,159.9731,796.0938
128,159.668,795.1172
129,159.9731,796.0938
130,159.668,797.0703
131,160.2783,798.0469
132,159.668,796.0938
133,159.668,798.0469
134,159.668,799.0234
135,159.3628,795.1172
136,159.9731,798.0469
137,159.9731,797.0703
138,159.668,798.0469
139,159.668,797.0703
140,159.668,797.0703
141,159.9731,797.0703
142,159.668,798.0469
143,159.9731,797.0703
144,160.2783,796.0938
145,159.668,798.0469
146,159.668,796.0938
147,159.9731,797.0703
148,159.9731,797.0703
149,159.9731,796.0938
150,159.9731,799.0234
151,159.668,798.0469
152,159.9731,796.0938
153,159.668,797.0703
154,159.668,796.0938
155,159.9731,797.0703
156,159.9731,797.0703
157,159.668,794.1406
158,159.668,798.0469
159,159.668,799.0234
160,159.668,795.1172
161,159.668,797.0703
162,160.2783,796.0938
163,159.9731,797.0703
164,159.668,795.1172
165,159.9731,798.0469
166,159.9731,796.0938
167,160.2783,799.0234
168,159.668,798.0469
169,159.668,796.0938
170,159.668,799.0234
171,159.3628,798.0469
172,159.668,797.0703
173,159.668,799.0234
174,161.499,795.1172
175,159.9731,798.0469
176,159.668,800
177,159.3628,795.1172
178,159.9731,797.0703
179,159.668,796.0938
180,159.9731,797.0703
181,159.9731,797.0703
182,159.668,796.0938
183,160.2783,797.0703
184,159.9731,799.0234
185,159.9731,797.0703
186,159.668,798.0469
187,160.2783,796.0938
188,159.3628,798.0469
189,159.9731,796.0938
190,159.9731,797.0703
191,159.9731,796.0938
192,159.9731,798.0469
193,159.668,798.0469
194,159.668,796.0938
195,159.668,799.0234
196,159.9731,797.0703
197,159.668,797.0703
198,159.9731,799.0234
199,159.9731,797.0703
200,160.2783,797.0703
201,159.668,800
202,159.9731,796.0938
203,159.9731,798.0469
204,159.9731,796.0938
205,159.668,796.0938
206,159.668,797.0703
207,159.668,797.0703
208,159.668,796.0938
209,159.9731,798.0469
210,159.668,797.0703
211,159.9731,797.0703
212,159.668,796.0938
213,159.668,798.0469
214,159.9731,796.0938
215,159.9731,797.0703
216,159.9731,796.0938
217,159.668,799.0234
218,159.668,797.0703
219,159.9731,796.0938
220,159.3628,799.0234
221,159.668,798.0469
222,159.668,798.0469
223,159.9731,797.0703
224,159.9731,797.0703
225,159.9731,797.0703
226,159.9731,799.0234
227,159.668,799.0234
228,159.9731,800.9766
229,159.9731,795.1172
230,159.9731,796.0938
231,159.9731,798.0469
232,159.9731,795.1172
233,159.9731,797.0703
234,159.668,800
235,159.668,797.0703
236,159.9731,797.0703
237,159.9731,796.0938
238,159.9731,799.0234
239,159.668,797.0703
240,159.9731,797.0703
241,159.9731,795.1172
242,159.668,797.0703
243,159.668,798.0469
244,159.9731,795.1172
245,159.3628,798.0469
246,159.9731,797.0703
247,160.2783,797.0703
248,159.9731,798.0469
249,159.9731,795.1172
250,159.9731,797.0703
251,159.668,799.0234
252,159.668,796.0938
253,159.668,797.0703
254,159.9731,796.0938
255,159.9731,797.0703
256,159.9731,797.0703
257,159.668,795.1172
258,159.9731,797.0703
259,159.9731,799.0234
260,159.668,796.0938
261,160.2783,796.0938
262,159.9731,796.0938
263,159.668,799.0234
264,159.9731,796.0938
265,159.9731,797.0703
266,159.9731,795.1172
267,159.9731,799.0234
268,159.668,797.0703
269,159.9731,796.0938
270,159.668,799.0234
271,159.668,797.0703
272,159.9731,797.0703
273,160.2783,797.0703
274,159.9731,796.0938
275,160.2783,797.0703
276,159.668,799.0234
277,159.668,797.0703
278,159.9731,797.0703
279,159.668,795.1172
280,159.9731,795.1172
281,163.6353,797.0703
282,159.668,796.0938
283,159.668,795.1172
284,159.9731,799.0234
285,159.9731,798.0469
286,159.9731,797.0703
287,160.2783,796.0938
288,159.9731,797.0703
289,159.668,797.0703
290,159.3628,799.0234
291,159.668,796.0938
292,159.9731,797.0703
293,159.668,798.0469
294,159.668,795.1172
295,159.668,798.0469
296,159.668,798.0469
297,159.9731,797.0703
298,159.9731,799.0234
299,159.668,796.0938
300,159.9731,797.0703
301,159.9731,799.0234
302,159.9731,797.0703
303,159.668,797.0703
304,159.668,796.0938
305,159.9731,796.0938
306,159.668,797.0703
307,159.3628,797.0703
308,159.668,796.0938
309,160.2783,797.0703
310,159.668,798.0469
311,159.668,797.0703
312,159.668,795.1172
313,159.668,797.0703
314,159.668,797.0703
315,159.3628,799.0234
316,159.9731,796.0938
317,160.2783,797.0703
318,159.9731,798.0469
319,159.9731,796.0938
320,159.9731,797.0703
321,159.668,799.0234
322,159.9731,797.0703
323,159.668,798.0469
324,159.668,796.0938
325,159.9731,796.0938
326,159.9731,798.0469
327,159.3628,797.0703
328,159.9731,797.0703
329,159.668,796.0938
330,159.668,796.0938
331,159.9731,797.0703
332,159.9731,797.0703
333,160.2783,795.1172
334,159.668,798.0469
