Time (ms),Brass 500 PSI,Brass 1600 PSI
7856,0,21.67969
7857,0,21.67969
7859,0,21.67969
7860,0,21.67969
7861,0,22.65625
7862,0,22.65625
7863,0,24.60938
7864,0,25.58594
7865,0,25.58594
7866,0,24.60938
7867,0,25.58594
7868,0,27.53906
7869,0,25.58594
7870,0,26.5625
7871,0,25.58594
7872,0,25.58594
7873,0,28.51563
7874,0,27.53906
7875,0,25.58594
7876,0,26.5625
7877,0,25.58594
7878,0,27.53906
7879,0,25.58594
7880,0,25.58594
7881,0,25.58594
7882,0,26.5625
7883,0,26.5625
7884,0,24.60938
7885,0,25.58594
7886,0,25.58594
7887,0,24.60938
7888,0,24.60938
7889,0,24.60938
7890,0,25.58594
7891,0,24.60938
7892,0,22.65625
7893,0,22.65625
7894,0,23.63281
7895,0,21.67969
7896,0,22.65625
7897,0,22.65625
7898,0,22.65625
7899,0,24.60938
7900,0,22.65625
7901,0,21.67969
7902,0,21.67969
7903,0,21.67969
7904,0,21.67969
7905,0,22.65625
7906,0,21.67969
7907,0,21.67969
7908,0,21.67969
7909,0,21.67969
7910,0,21.67969
7911,0,21.67969
7912,0,21.67969
7913,0,20.70313
7914,0,21.67969
7916,0,21.67969
7917,0,21.67969
7919,0,21.67969
7920,0,21.67969
7921,0,21.67969
7922,0,20.70313
7925,0,20.70313
7927,0,20.70313
8859,0,21.67969
8860,0,21.67969
8861,0,23.63281
8862,0,23.63281
8863,0,24.60938
8864,0,25.58594
8865,0,28.51563
8866,0,28.51563
8867,0,28.51563
8868,0,30.46875
8869,0,31.44531
8870,0,33.39844
8871,0,33.39844
8872,0,33.39844
8873,0,36.32813
8874,0,37.30469
8875,0,37.30469
8876,0,39.25781
8877,0,40.23438
8878,0,40.23438
8879,0,41.21094
8880,0,42.1875
8881,0,43.16406
8882,0,44.14063
8883,0,45.11719
8884,0,45.11719
8885,0,46.09375
8886,0,48.04688
8887,0,48.04688
8888,0,50
8889,0,50
8890,0,51.95313
8891,0,53.90625
8892,0,52.92969
8893,0,53.90625
8894,0,54.88281
8895,0,56.83594
8896,0,58.78906
8897,0,59.76563
8898,0,57.8125
8899,0,60.74219
8900,0,61.71875
8901,0,61.71875
8902,0,62.69531
8903,0,64.64844
8904,0,63.67188
8905,0,65.625
8906,0,64.64844
8907,0,66.60156
8908,0,68.55469
8909,0,69.53125
8910,0,69.53125
8911,0,70.50781
8912,0,72.46094
8913,0,73.4375
8914,0,72.46094
8915,0,70.50781
8916,0,72.46094
8917,0,73.4375
8918,0,73.4375
8919,0,73.4375
8920,0,73.4375
8921,0,74.41406
8922,0,77.34375
8923,0,75.39063
8924,0,75.39063
8925,0,77.34375
8926,0,75.39063
8927,0,76.36719
8928,0,79.29688
8929,0,78.32031
8930,0,78.32031
8931,0,79.29688
8932,0,77.34375
8933,0,77.34375
8934,0,80.27344
8935,0,78.32031
8936,0,80.27344
8937,0,80.27344
8938,0,77.34375
8939,0,79.29688
8940,0,80.27344
8941,0,77.34375
8942,0,78.32031
8943,0,81.25
8944,0,80.27344
8945,0,79.29688
8946,0,79.29688
8947,0,78.32031
8948,0,81.25
8949,0,81.25
8950,0,77.34375
8951,0,79.29688
8952,0,80.27344
8953,0,78.32031
8954,0,81.25
8955,0,78.32031
8956,0,79.29688
8957,0,80.27344
8958,0,78.32031
8959,0,80.27344
8960,0,77.34375
8961,0,77.34375
8962,0,77.34375
8963,0,78.32031
8964,0,77.34375
8965,0,79.29688
8966,0,81.25
8967,0,76.36719
8968,0,78.32031
8969,0,78.32031
8970,0,80.27344
8971,0,80.27344
8972,0,77.34375
8973,0,78.32031
8974,0,79.29688
8975,0,77.34375
8976,0,78.32031
8977,0,80.27344
8978,0,77.34375
8979,0,77.34375
8980,0,78.32031
8981,0,77.34375
8982,0,77.34375
8983,0,78.32031
8984,0,76.36719
8985,0,77.34375
8986,0,77.34375
8987,0,77.34375
8988,0,77.34375
8989,0,76.36719
8990,0,75.39063
8991,0,77.34375
8992,0,77.34375
8993,0,77.34375
8994,0,76.36719
8995,0,77.34375
8996,0,76.36719
8997,0,78.32031
8998,0,76.36719
8999,0,75.39063
9000,0,77.34375
9001,0,75.39063
9002,0,77.34375
9003,0,77.34375
9004,0,75.39063
9005,0,77.34375
9006,0,75.39063
9007,0,73.4375
9008,0,73.4375
9009,0,80.27344
9010,0,72.46094
9011,0,82.22656
9012,0,77.34375
9013,0,71.48438
9014,0,80.27344
9015,0,69.53125
9016,0,69.53125
9017,0,69.53125
9018,0,69.53125
9019,0,70.50781
9020,0,69.53125
9021,0,66.60156
9022,0,67.57813
9023,0,75.39063
9024,0,67.57813
9025,0,66.60156
9026,0,68.55469
9027,0,66.60156
9028,0,64.64844
9029,0,62.69531
9030,0,62.69531
9031,0,64.64844
9032,0,68.55469
9033,0,61.71875
9034,0,60.74219
9035,0,61.71875
9036,0,60.74219
9037,0,57.8125
9038,0,56.83594
9039,0,56.83594
9040,0,60.74219
9041,0,53.90625
9042,0,53.90625
9043,0,50.97656
9044,0,52.92969
