Time (ms),Brass 500 PSI,Brass 1600 PSI
1,154.48,448.4375
2,154.48,448.4375
3,154.48,449.4141
4,154.7852,448.4375
5,154.7852,450.3906
6,154.7852,449.4141
7,154.7852,449.4141
8,154.48,450.3906
9,154.7852,448.4375
10,154.7852,450.3906
11,154.7852,449.4141
12,154.7852,448.4375
13,154.7852,449.4141
14,154.7852,449.4141
15,154.7852,448.4375
16,155.0903,447.4609
17,154.7852,449.4141
18,155.3955,448.4375
19,155.0903,450.3906
20,154.48,447.4609
21,155.3955,450.3906
22,154.48,450.3906
23,154.7852,448.4375
24,154.7852,450.3906
25,155.0903,449.4141
26,154.7852,450.3906
27,154.7852,449.4141
28,154.7852,449.4141
29,154.7852,449.4141
30,154.48,450.3906
31,155.0903,449.4141
32,155.0903,448.4375
33,154.48,449.4141
34,154.7852,448.4375
35,155.0903,448.4375
36,154.7852,448.4375
37,155.0903,448.4375
38,154.7852,449.4141
39,154.7852,449.4141
40,154.48,447.4609
41,154.7852,448.4375
42,154.7852,447.4609
43,154.48,449.4141
44,157.8369,449.4141
45,158.1421,449.4141
46,154.7852,449.4141
47,154.48,449.4141
48,154.7852,448.4375
49,156.9214,449.4141
50,154.48,450.3906
51,154.7852,449.4141
52,156.9214,449.4141
53,156.9214,448.4375
54,155.0903,450.3906
55,154.7852,449.4141
56,154.7852,448.4375
57,156.6162,449.4141
58,154.48,449.4141
59,154.48,447.4609
60,155.0903,448.4375
61,154.48,449.4141
62,154.7852,449.4141
63,154.48,450.3906
64,154.7852,448.4375
65,154.7852,448.4375
66,154.48,447.4609
67,155.0903,449.4141
68,154.7852,449.4141
69,154.7852,449.4141
70,155.0903,448.4375
71,154.7852,449.4141
72,154.7852,449.4141
73,154.48,449.4141
74,154.7852,449.4141
75,154.7852,449.4141
76,154.48,448.4375
77,154.7852,450.3906
78,154.7852,448.4375
79,154.48,449.4141
80,154.48,449.4141
81,155.0903,448.4375
82,154.7852,448.4375
83,154.7852,448.4375
84,154.48,447.4609
85,154.7852,449.4141
86,154.7852,448.4375
87,154.7852,449.4141
88,154.7852,449.4141
89,155.0903,448.4375
90,154.7852,449.4141
91,154.7852,449.4141
92,155.0903,449.4141
93,154.7852,449.4141
94,155.0903,449.4141
95,155.0903,450.3906
96,154.48,449.4141
97,154.48,449.4141
98,154.48,449.4141
99,154.7852,448.4375
100,154.48,450.3906
101,154.7852,447.4609
102,154.7852,449.4141
103,154.7852,448.4375
104,154.7852,449.4141
105,154.7852,448.4375
106,154.7852,448.4375
107,154.7852,450.3906
108,154.7852,449.4141
109,155.0903,448.4375
110,154.48,449.4141
111,154.48,448.4375
112,154.48,450.3906
113,154.7852,447.4609
114,154.7852,447.4609
115,154.7852,449.4141
116,154.7852,450.3906
117,155.0903,449.4141
118,154.7852,449.4141
119,154.7852,449.4141
120,155.0903,450.3906
121,154.7852,448.4375
122,155.0903,447.4609
123,154.7852,449.4141
124,155.0903,449.4141
125,154.7852,448.4375
126,154.7852,457.2266
127,155.0903,449.4141
128,155.0903,450.3906
129,154.48,449.4141
130,155.0903,449.4141
131,154.7852,449.4141
132,154.48,449.4141
133,154.7852,448.4375
134,154.7852,449.4141
135,154.7852,448.4375
136,155.0903,449.4141
137,154.48,449.4141
138,154.7852,447.4609
139,155.0903,449.4141
140,154.48,449.4141
141,154.7852,449.4141
142,154.48,450.3906
143,155.0903,449.4141
144,154.7852,448.4375
145,154.7852,449.4141
146,154.7852,447.4609
147,154.7852,449.4141
148,154.7852,449.4141
149,154.7852,447.4609
150,154.48,448.4375
151,155.0903,448.4375
152,154.7852,449.4141
153,155.0903,449.4141
154,154.7852,448.4375
155,154.7852,448.4375
156,154.7852,449.4141
157,154.7852,447.4609
158,155.3955,449.4141
159,154.7852,449.4141
160,154.7852,449.4141
161,154.7852,449.4141
162,154.48,447.4609
163,155.0903,449.4141
164,154.7852,449.4141
165,154.48,447.4609
166,154.48,449.4141
167,154.7852,449.4141
168,155.0903,449.4141
169,154.7852,449.4141
170,155.0903,449.4141
171,155.0903,447.4609
172,154.7852,449.4141
173,154.48,449.4141
174,154.7852,449.4141
175,155.0903,449.4141
176,154.48,449.4141
177,154.48,449.4141
178,154.7852,447.4609
179,154.7852,448.4375
180,154.7852,449.4141
181,154.48,449.4141
182,154.7852,449.4141
183,154.7852,449.4141
184,154.48,449.4141
185,154.7852,449.4141
186,154.48,449.4141
187,155.0903,447.4609
188,155.0903,449.4141
189,154.7852,449.4141
190,154.7852,449.4141
191,154.7852,447.4609
192,155.0903,447.4609
193,155.0903,449.4141
194,154.7852,449.4141
195,154.7852,449.4141
196,154.48,449.4141
197,154.48,449.4141
198,154.48,449.4141
199,154.48,449.4141
200,155.0903,449.4141
201,154.7852,449.4141
202,154.7852,449.4141
203,154.48,448.4375
204,155.0903,450.3906
205,154.7852,449.4141
206,154.48,449.4141
207,155.0903,449.4141
208,154.7852,449.4141
209,154.48,448.4375
210,154.7852,449.4141
211,154.48,448.4375
212,154.7852,449.4141
213,154.48,448.4375
214,154.7852,448.4375
215,155.0903,449.4141
216,154.7852,449.4141
217,155.0903,449.4141
218,154.48,448.4375
219,154.7852,449.4141
220,154.7852,449.4141
221,154.7852,449.4141
222,154.48,448.4375
223,154.7852,449.4141
224,154.48,449.4141
225,154.7852,449.4141
226,154.48,448.4375
227,155.0903,449.4141
228,155.0903,449.4141
229,154.7852,449.4141
230,155.0903,449.4141
231,154.7852,448.4375
232,154.7852,450.3906
233,154.7852,448.4375
234,155.0903,449.4141
235,154.7852,449.4141
236,154.7852,449.4141
237,154.7852,449.4141
238,155.0903,447.4609
239,155.0903,449.4141
240,154.48,449.4141
241,154.7852,449.4141
242,154.48,450.3906
243,155.0903,449.4141
244,154.7852,449.4141
245,154.48,450.3906
246,154.7852,448.4375
247,155.0903,448.4375
248,154.7852,449.4141
249,154.7852,448.4375
250,154.48,449.4141
251,154.7852,448.4375
252,154.7852,449.4141
253,154.7852,449.4141
254,154.7852,449.4141
255,155.0903,449.4141
256,154.48,449.4141
257,154.48,448.4375
258,154.7852,448.4375
259,154.7852,449.4141
260,154.7852,449.4141
261,154.7852,449.4141
262,154.7852,449.4141
263,154.7852,448.4375
264,154.7852,449.4141
265,154.48,449.4141
266,155.0903,449.4141
267,154.48,448.4375
268,155.0903,449.4141
269,154.48,449.4141
270,154.48,448.4375
271,155.0903,448.4375
272,155.0903,450.3906
273,155.0903,449.4141
274,154.7852,449.4141
275,154.7852,448.4375
276,154.7852,450.3906
277,154.7852,449.4141
278,154.7852,450.3906
279,154.7852,447.4609
280,154.7852,449.4141
281,154.7852,449.4141
282,155.0903,449.4141
283,154.7852,450.3906
284,154.7852,449.4141
285,154.7852,449.4141
286,155.0903,449.4141
287,154.7852,448.4375
288,155.0903,450.3906
289,154.7852,449.4141
290,154.7852,455.2734
291,155.0903,457.2266
292,154.7852,448.4375
293,154.7852,449.4141
294,154.48,449.4141
295,154.48,449.4141
296,154.7852,448.4375
297,154.48,448.4375
298,154.48,449.4141
299,155.0903,449.4141
300,154.7852,447.4609
301,154.7852,449.4141
302,154.7852,448.4375
303,154.7852,449.4141
304,154.7852,448.4375
305,154.7852,449.4141
306,154.48,449.4141
307,154.7852,448.4375
308,154.48,450.3906
309,154.48,449.4141
310,154.7852,448.4375
311,154.7852,449.4141
312,154.7852,448.4375
313,155.0903,449.4141
314,154.48,449.4141
315,154.48,447.4609
316,154.48,448.4375
317,154.7852,448.4375
318,155.0903,448.4375
319,154.48,449.4141
320,155.0903,447.4609
321,154.7852,449.4141
322,154.7852,450.3906
323,154.7852,449.4141
324,154.48,449.4141
325,155.0903,448.4375
326,154.48,449.4141
327,154.7852,448.4375
328,154.48,449.4141
329,154.7852,448.4375
330,154.7852,449.4141
331,154.48,449.4141
332,154.48,448.4375
333,154.7852,449.4141
334,154.7852,448.4375
335,155.0903,449.4141
336,154.7852,449.4141
337,155.0903,447.4609
338,155.0903,449.4141
339,154.48,449.4141
340,154.48,449.4141
341,155.0903,448.4375
342,154.7852,449.4141
343,154.7852,449.4141
344,154.7852,449.4141
345,154.7852,448.4375
346,154.48,448.4375
347,154.7852,450.3906
348,154.48,447.4609
349,154.7852,450.3906
350,155.0903,448.4375
351,154.7852,449.4141
352,154.7852,448.4375
353,154.7852,448.4375
354,155.0903,447.4609
355,155.0903,450.3906
356,154.7852,449.4141
357,154.7852,449.4141
358,154.48,450.3906
359,154.48,449.4141
360,154.7852,450.3906
361,154.7852,449.4141
362,154.7852,448.4375
363,154.7852,449.4141
364,154.48,449.4141
365,154.7852,448.4375
366,158.1421,449.4141
367,154.7852,448.4375
368,155.0903,449.4141
369,155.0903,448.4375
370,155.7007,448.4375
371,155.0903,449.4141
372,154.48,449.4141
373,154.7852,448.4375
374,156.9214,449.4141
375,156.311,447.4609
376,154.48,449.4141
377,155.0903,448.4375
378,154.7852,449.4141
379,154.7852,449.4141
380,154.48,449.4141
381,154.7852,447.4609
382,154.7852,448.4375
383,154.48,450.3906
384,154.48,449.4141
385,154.7852,448.4375
386,154.7852,449.4141
387,154.7852,449.4141
388,155.0903,450.3906
389,154.48,449.4141
390,154.48,448.4375
391,154.7852,449.4141
392,154.7852,448.4375
393,154.7852,449.4141
394,154.7852,449.4141
395,154.7852,448.4375
396,154.7852,449.4141
397,154.48,450.3906
398,154.7852,447.4609
399,154.7852,450.3906
400,154.7852,449.4141
401,154.48,449.4141
402,154.7852,448.4375
403,154.7852,449.4141
404,155.0903,449.4141
405,154.7852,449.4141
406,154.48,448.4375
407,154.7852,450.3906
