Time (ms),Brass 500 PSI,Brass 1600 PSI
1,155.3955,340.0391
2,155.3955,340.0391
3,155.7007,340.0391
4,155.3955,341.0156
5,155.3955,339.0625
6,155.0903,340.0391
7,155.0903,340.0391
8,155.0903,340.0391
9,155.7007,339.0625
10,155.3955,340.0391
11,156.9214,339.0625
12,155.3955,339.0625
13,155.3955,340.0391
14,155.3955,340.0391
15,155.3955,340.0391
16,155.3955,340.0391
17,155.0903,339.0625
18,155.3955,340.0391
19,155.3955,340.0391
20,155.7007,338.0859
21,155.7007,340.0391
22,155.0903,340.0391
23,155.3955,339.0625
24,155.3955,339.0625
25,155.7007,339.0625
26,155.3955,339.0625
27,155.3955,339.0625
28,155.3955,339.0625
29,155.3955,339.0625
30,155.7007,340.0391
31,155.7007,340.0391
32,155.3955,340.0391
33,155.7007,340.0391
34,155.3955,340.0391
35,155.3955,339.0625
36,155.3955,340.0391
37,155.0903,339.0625
38,155.3955,339.0625
39,155.3955,340.0391
40,154.7852,340.0391
41,155.3955,340.0391
42,155.3955,340.0391
43,155.3955,341.0156
44,155.7007,340.0391
45,155.0903,340.0391
46,155.7007,339.0625
47,155.3955,339.0625
48,155.7007,340.0391
49,155.7007,340.0391
50,155.0903,340.0391
51,155.7007,340.0391
52,155.3955,340.0391
53,155.0903,340.0391
54,154.7852,339.0625
55,155.3955,339.0625
56,155.3955,340.0391
57,155.3955,339.0625
58,155.7007,339.0625
59,155.7007,340.0391
60,155.3955,340.0391
61,155.7007,340.0391
62,155.3955,340.0391
63,155.7007,339.0625
64,155.3955,339.0625
65,155.3955,340.0391
66,155.3955,340.0391
67,155.3955,340.0391
68,155.0903,340.0391
69,155.3955,339.0625
70,155.0903,341.0156
71,155.3955,339.0625
72,155.7007,348.8281
73,155.3955,340.0391
74,155.0903,339.0625
75,155.7007,338.0859
76,155.3955,338.0859
77,155.7007,339.0625
78,155.7007,340.0391
79,155.3955,339.0625
80,155.3955,340.0391
81,155.3955,340.0391
82,155.3955,339.0625
83,155.7007,340.0391
84,155.7007,340.0391
85,155.7007,340.0391
86,155.0903,340.0391
87,155.0903,340.0391
88,155.0903,339.0625
89,155.3955,339.0625
90,155.7007,340.0391
91,155.3955,339.0625
92,155.7007,339.0625
93,155.3955,339.0625
94,155.3955,339.0625
95,155.3955,340.0391
96,155.0903,339.0625
97,155.3955,339.0625
98,155.7007,339.0625
99,155.0903,340.0391
100,155.3955,340.0391
101,155.0903,340.0391
102,155.3955,340.0391
103,155.7007,339.0625
104,155.3955,341.0156
105,155.3955,340.0391
106,155.0903,339.0625
107,155.3955,340.0391
108,155.0903,340.0391
109,155.3955,339.0625
110,155.3955,339.0625
111,155.0903,339.0625
112,155.7007,339.0625
113,155.7007,340.0391
114,155.0903,340.0391
115,155.7007,339.0625
116,155.3955,339.0625
117,155.3955,340.0391
118,155.3955,338.0859
119,155.3955,339.0625
120,155.3955,339.0625
121,155.3955,340.0391
122,155.3955,340.0391
123,155.3955,339.0625
124,155.7007,339.0625
125,155.7007,339.0625
126,155.7007,339.0625
127,155.7007,339.0625
128,155.3955,339.0625
129,155.3955,339.0625
130,155.3955,340.0391
131,155.0903,340.0391
132,155.3955,340.0391
133,155.3955,340.0391
134,155.0903,340.0391
135,155.7007,339.0625
136,155.3955,339.0625
137,155.3955,339.0625
138,155.7007,340.0391
139,155.3955,340.0391
140,155.3955,340.0391
141,155.7007,339.0625
142,155.0903,339.0625
143,155.3955,340.0391
144,155.0903,339.0625
145,155.3955,338.0859
146,155.7007,339.0625
147,155.3955,340.0391
148,155.3955,339.0625
149,155.7007,339.0625
150,155.7007,339.0625
151,155.3955,340.0391
152,155.7007,340.0391
153,155.3955,340.0391
154,155.3955,339.0625
155,155.3955,340.0391
156,155.3955,340.0391
157,155.3955,340.0391
158,155.3955,339.0625
159,155.3955,339.0625
160,155.3955,339.0625
161,155.3955,340.0391
162,155.3955,338.0859
163,155.7007,340.0391
164,155.0903,340.0391
165,155.3955,338.0859
166,155.3955,340.0391
167,155.0903,339.0625
168,155.3955,340.0391
169,155.3955,339.0625
170,155.3955,340.0391
171,155.7007,339.0625
172,155.7007,340.0391
173,155.0903,339.0625
174,155.7007,338.0859
175,155.7007,339.0625
176,155.3955,339.0625
177,155.3955,339.0625
178,155.7007,339.0625
179,155.7007,339.0625
180,155.7007,340.0391
181,155.3955,340.0391
182,155.3955,339.0625
183,155.7007,340.0391
184,155.7007,340.0391
185,155.7007,340.0391
186,155.0903,339.0625
187,155.0903,339.0625
188,155.3955,339.0625
189,155.0903,340.0391
190,155.3955,340.0391
191,155.3955,340.0391
192,155.3955,340.0391
193,155.3955,340.0391
194,155.7007,340.0391
195,155.0903,340.0391
196,155.3955,340.0391
197,155.7007,339.0625
198,155.7007,340.0391
199,155.3955,340.0391
200,155.3955,340.0391
201,155.7007,339.0625
202,155.3955,339.0625
203,155.3955,340.0391
204,155.0903,340.0391
205,155.3955,339.0625
206,155.3955,341.9922
207,155.3955,338.0859
208,155.3955,340.0391
209,155.0903,340.0391
210,155.7007,346.875
211,155.3955,340.0391
212,155.7007,340.0391
213,155.3955,340.0391
214,155.3955,339.0625
215,155.3955,347.8516
216,155.7007,340.0391
217,155.7007,340.0391
218,155.7007,339.0625
219,155.3955,339.0625
220,155.3955,340.0391
221,155.3955,340.0391
222,154.7852,339.0625
223,155.3955,340.0391
224,155.3955,339.0625
225,155.3955,340.0391
226,155.0903,339.0625
227,155.3955,340.0391
228,155.3955,339.0625
229,155.3955,340.0391
230,155.0903,340.0391
231,155.7007,339.0625
232,155.7007,340.0391
233,155.3955,340.0391
234,155.0903,339.0625
235,155.3955,340.0391
236,155.0903,339.0625
237,155.7007,339.0625
238,155.3955,339.0625
239,155.3955,340.0391
240,155.3955,339.0625
241,155.3955,339.0625
242,155.7007,339.0625
243,155.7007,339.0625
244,155.7007,339.0625
245,155.0903,339.0625
246,155.3955,340.0391
247,155.3955,340.0391
248,155.3955,339.0625
249,155.7007,339.0625
250,155.7007,339.0625
251,155.3955,339.0625
252,155.3955,339.0625
253,155.7007,340.0391
