Time (ms),Brass 500 PSI,Brass 1600 PSI
5938,0,20.70313
5939,0,21.67969
5940,0,21.67969
5941,0,24.60938
5942,0,27.53906
5943,0,25.58594
5944,0,24.60938
5945,0,26.5625
5946,0,27.53906
5947,0,25.58594
5948,0,27.53906
5949,0,27.53906
5950,0,28.51563
5951,0,28.51563
5952,0,28.51563
5953,0,30.46875
5954,0,29.49219
5955,0,30.46875
5956,0,30.46875
5957,0,30.46875
5958,0,32.42188
5959,0,33.39844
5960,0,31.44531
5961,0,32.42188
5962,0,33.39844
5963,0,32.42188
5964,0,35.35156
5965,20.20264,34.375
5966,21.11816,35.35156
5967,21.72852,36.32813
5968,22.03369,36.32813
5969,22.94922,35.35156
5970,23.86475,36.32813
5971,24.4751,37.30469
5972,24.4751,37.30469
5973,25.6958,37.30469
5974,26.30615,37.30469
5975,26.9165,39.25781
5976,26.9165,40.23438
5977,27.83203,40.23438
5978,28.13721,41.21094
5979,29.05273,42.1875
5980,29.05273,43.16406
5981,29.66309,43.16406
5982,30.27344,41.21094
5983,31.18896,41.21094
5984,31.79932,44.14063
5985,32.10449,44.14063
5986,33.02002,45.11719
5987,33.3252,45.11719
5988,34.24072,45.11719
5989,34.85107,45.11719
5990,35.7666,48.04688
5991,36.07178,46.09375
5992,36.9873,49.02344
5993,37.29248,50
5994,37.29248,49.02344
5995,37.90283,50
5996,39.12354,50
5997,39.12354,50.97656
5998,40.03906,51.95313
5999,40.64941,51.95313
6000,41.25977,51.95313
6001,64.45313,70.50781
6002,61.40137,69.53125
6003,62.01172,72.46094
6004,62.62207,73.4375
6005,63.5376,70.50781
6006,63.84277,73.4375
6007,64.45313,73.4375
6008,65.06348,75.39063
6009,65.67383,75.39063
6010,66.28418,73.4375
6011,66.89453,77.34375
6012,67.50488,75.39063
6013,68.11523,77.34375
6014,68.11523,77.34375
6015,69.03076,77.34375
6016,69.33594,79.29688
6017,69.94629,78.32031
6018,70.55664,77.34375
6019,71.47217,81.25
6020,71.16699,81.25
6021,72.08252,81.25
6022,72.69287,81.25
6023,73.30322,81.25
6024,73.91357,84.17969
6025,74.52393,82.22656
6026,74.52393,83.20313
6027,75.74463,85.15625
6028,76.0498,83.20313
6029,76.66016,84.17969
6030,77.27051,85.15625
6031,77.88086,87.10938
6032,78.18604,88.08594
6033,78.79639,86.13281
6034,79.40674,86.13281
6035,79.71191,89.0625
6036,80.62744,88.08594
6037,80.93262,88.08594
6038,81.23779,89.0625
6039,81.84814,91.01563
6040,82.4585,90.03906
6041,82.76367,91.99219
6042,83.6792,90.03906
6043,84.28955,92.96875
6044,84.28955,92.96875
6045,84.8999,94.92188
6046,85.20508,94.92188
6047,85.81543,102.7344
6048,86.12061,93.94531
6049,86.73096,96.875
6050,87.34131,93.94531
6051,88.25684,95.89844
6052,88.86719,98.82813
6053,89.17236,96.875
6054,89.47754,96.875
6055,90.39307,98.82813
6056,91.00342,98.82813
6057,91.30859,100.7813
6058,91.91895,99.80469
6059,92.5293,100.7813
6060,92.83447,103.7109
6061,93.13965,102.7344
6062,93.75,102.7344
6063,94.36035,104.6875
6064,94.36035,104.6875
6065,95.27588,104.6875
6066,95.58105,105.6641
6067,96.19141,104.6875
6068,96.80176,104.6875
6069,96.80176,107.6172
6070,97.41211,109.5703
6071,98.02246,108.5938
6072,98.63281,108.5938
6073,99.24316,108.5938
6074,99.54834,111.5234
6075,100.4639,110.5469
6076,100.4639,109.5703
6077,101.3794,110.5469
6078,101.6846,111.5234
6079,101.6846,112.5
6080,102.2949,111.5234
6081,102.9053,114.4531
6082,103.5156,113.4766
6083,103.8208,116.4063
6084,104.4312,113.4766
6085,104.7363,113.4766
6086,105.3467,117.3828
6087,105.957,114.4531
6088,106.5674,115.4297
6089,106.5674,116.4063
6090,107.1777,116.4063
6091,109.0088,118.3594
6092,107.7881,119.3359
6093,108.0933,118.3594
6094,109.0088,118.3594
6095,109.0088,119.3359
6096,110.2295,120.3125
6097,109.9243,121.2891
6098,110.5347,121.2891
6099,110.8398,121.2891
6100,111.4502,124.2188
6101,111.4502,124.2188
6102,112.3657,121.2891
6103,112.6709,125.1953
6104,112.9761,124.2188
6105,113.2813,124.2188
6106,114.502,124.2188
6107,114.502,125.1953
6108,115.1123,127.1484
6109,115.7227,128.125
6110,115.7227,127.1484
6111,116.333,127.1484
6112,116.333,129.1016
6113,116.9434,129.1016
6114,117.5537,130.0781
6115,117.8589,131.0547
6116,117.8589,129.1016
6117,119.0796,133.0078
6118,118.7744,133.0078
6119,119.3848,131.0547
6120,120.3003,132.0313
6121,119.9951,132.0313
6122,120.6055,133.9844
6123,120.9106,135.9375
6124,121.521,133.9844
6125,121.8262,135.9375
6126,122.4365,138.8672
6127,122.4365,136.9141
6128,123.0469,139.8438
6129,123.0469,138.8672
6130,123.6572,140.8203
6131,123.9624,140.8203
6132,123.9624,139.8438
6133,124.5728,140.8203
6134,125.1831,144.7266
6135,125.1831,144.7266
6136,125.4883,143.75
6137,125.7935,146.6797
6138,126.4038,145.7031
6139,126.709,146.6797
6140,127.6245,148.6328
6141,127.9297,146.6797
6142,128.2349,148.6328
6143,128.2349,151.5625
6144,128.8452,149.6094
6145,129.4556,151.5625
6146,129.1504,151.5625
6147,129.7607,154.4922
6148,129.7607,155.4688
6149,130.0659,153.5156
6150,130.6763,157.4219
6151,130.6763,160.3516
6152,130.6763,158.3984
6153,131.897,161.3281
6154,132.2021,161.3281
6155,132.5073,165.2344
6156,132.2021,163.2813
6157,132.8125,165.2344
6158,133.728,166.2109
6159,133.4229,169.1406
6160,134.0332,169.1406
6161,134.3384,170.1172
6162,134.3384,173.0469
6163,134.6436,174.0234
6164,134.6436,175.9766
6165,135.2539,177.9297
6166,135.5591,178.9063
6167,135.5591,180.8594
6168,135.5591,182.8125
6169,136.1694,180.8594
6170,136.7798,182.8125
6171,136.4746,184.7656
6172,136.7798,186.7188
6173,136.7798,190.625
6174,137.085,190.625
6175,137.6953,193.5547
6176,137.6953,196.4844
6177,137.6953,195.5078
6178,138.0005,199.4141
6179,138.3057,200.3906
