Time (ms),Brass 500 PSI,Brass 1600 PSI
5454,0,21.67969
5455,0,20.70313
5456,0,21.67969
5457,0,21.67969
5458,0,21.67969
5459,0,24.60938
5460,0,23.63281
5461,0,23.63281
5462,0,25.58594
5463,0,27.53906
5464,0,28.51563
5465,0,27.53906
5466,0,27.53906
5467,0,29.49219
5468,0,30.46875
5469,0,29.49219
5470,0,31.44531
5471,0,32.42188
5472,0,33.39844
5473,0,33.39844
5474,20.20264,36.32813
5475,21.11816,35.35156
5476,21.72852,38.28125
5477,22.64404,37.30469
5478,23.25439,36.32813
5479,24.4751,40.23438
5480,25.08545,39.25781
5481,26.00098,40.23438
5482,26.61133,41.21094
5483,27.22168,43.16406
5484,28.44238,44.14063
5485,29.05273,45.11719
5486,29.66309,45.11719
5487,30.57861,46.09375
5488,31.49414,49.02344
5489,32.10449,50.97656
5490,33.02002,51.95313
5491,33.93555,52.92969
5492,34.85107,52.92969
5493,36.07178,54.88281
5494,36.68213,55.85938
5495,37.59766,53.90625
5496,38.51318,57.8125
5497,39.12354,59.76563
5498,40.34424,58.78906
5499,41.56494,60.74219
5500,42.17529,60.74219
5501,43.70117,63.67188
5502,44.31152,64.64844
5503,44.92188,64.64844
5504,45.8374,65.625
5505,46.75293,66.60156
5506,47.97363,67.57813
5507,49.19434,68.55469
5508,49.80469,70.50781
5509,51.33057,72.46094
5510,52.24609,73.4375
5511,53.16162,74.41406
5512,54.38232,73.4375
5513,55.60303,75.39063
5514,56.51855,77.34375
5515,57.73926,80.27344
5516,58.65479,81.25
5517,60.18066,80.27344
5518,61.40137,83.20313
5519,62.92725,88.08594
5520,63.84277,85.15625
5521,64.7583,88.08594
5522,65.67383,91.01563
5523,66.89453,90.03906
5524,68.42041,91.01563
5525,69.03076,91.99219
5526,71.16699,94.92188
5527,72.08252,97.85156
5528,72.99805,98.82813
5529,74.52393,98.82813
5530,75.74463,100.7813
5531,76.96533,102.7344
5532,78.49121,104.6875
5533,79.71191,107.6172
5534,80.62744,107.6172
5535,82.15332,110.5469
5536,83.06885,115.4297
5537,84.28955,115.4297
5538,85.51025,115.4297
5539,87.03613,117.3828
5540,88.86719,121.2891
5541,89.47754,123.2422
5542,90.69824,123.2422
5543,92.22412,125.1953
5544,93.13965,129.1016
5545,94.66553,132.0313
5546,95.88623,133.0078
5547,97.41211,135.9375
5548,98.32764,138.8672
5549,99.54834,138.8672
5550,101.3794,144.7266
5551,102.2949,144.7266
5552,103.5156,146.6797
5553,105.0415,154.4922
5554,105.6519,153.5156
5555,106.8726,158.3984
5556,107.7881,163.2813
5557,109.0088,165.2344
5558,110.5347,168.1641
5559,111.145,172.0703
5560,112.3657,173.0469
5561,114.1968,178.9063
5562,115.1123,183.7891
5563,116.0278,187.6953
5564,116.9434,190.625
5565,118.1641,194.5313
5566,119.0796,197.4609
5567,120.6055,206.25
5568,120.9106,209.1797
5569,121.8262,214.0625
5570,123.0469,220.8984
5571,123.3521,224.8047
5572,124.8779,231.6406
5573,125.7935,238.4766
5574,126.709,245.3125
5575,127.3193,251.1719
5576,128.2349,259.9609
5577,128.8452,266.7969
5578,129.4556,271.6797
5579,130.3711,283.3984
5580,131.2866,287.3047
5581,132.2021,297.0703
5582,132.5073,303.9063
5583,133.4229,311.7188
5584,134.3384,325.3906
5585,134.3384,332.2266
5586,134.9487,339.0625
5587,135.5591,348.8281
5588,136.1694,359.5703
5589,136.4746,370.3125
5590,136.7798,381.0547
5591,137.6953,389.8438
5592,138.0005,398.6328
5593,138.3057,411.3281
5594,138.6108,420.1172
5595,138.916,426.9531
5596,139.8315,441.6016
5597,139.5264,452.3438
5598,140.7471,459.1797
5599,141.0522,469.9219
5600,141.3574,478.7109
5601,141.9678,490.4297
5602,142.5781,503.125
5603,142.5781,519.7266
5604,143.1885,518.75
5605,143.4937,527.5391
5606,143.7988,533.3984
5607,144.4092,546.0938
5608,144.4092,554.8828
5609,144.7144,559.7656
5610,145.6299,569.5313
5611,145.3247,580.2734
5612,145.9351,582.2266
5613,146.8506,589.0625
5614,146.8506,596.875
5615,146.8506,606.6406
5616,147.4609,613.4766
5617,147.7661,616.4063
5618,148.3765,622.2656
5619,148.6816,632.0313
5620,148.6816,637.8906
5621,149.292,641.7969
5622,149.5972,647.6563
5623,149.5972,653.5156
5624,149.9023,654.4922
5625,150.2075,661.3281
5626,150.5127,662.3047
5627,151.123,670.1172
5628,151.4282,676.9531
5629,151.7334,674.0234
5630,151.7334,682.8125
5631,151.7334,681.8359
5632,152.3438,688.6719
5633,153.5645,691.6016
5634,152.9541,689.6484
5635,153.8696,692.5781
5636,153.8696,700.3906
5637,153.8696,700.3906
5638,154.1748,699.4141
5639,154.48,702.3438
5640,154.48,706.25
5641,154.7852,710.1563
5642,154.48,709.1797
5643,155.3955,711.1328
5644,155.3955,715.0391
5645,155.3955,717.9688
5646,156.0059,717.9688
5647,156.0059,717.9688
5648,156.0059,721.875
5649,156.6162,718.9453
5650,156.9214,722.8516
5651,156.9214,719.9219
5652,157.2266,723.8281
5653,156.9214,729.6875
5654,156.9214,724.8047
5655,156.9214,730.6641
5656,157.2266,728.7109
5657,157.5317,731.6406
5658,157.8369,732.6172
5659,157.5317,727.7344
5660,158.1421,729.6875
5661,158.1421,734.5703
5662,158.1421,732.6172
5663,158.7524,732.6172
5664,158.7524,731.6406
5665,159.0576,733.5938
5666,158.7524,735.5469
5667,159.0576,735.5469
5668,159.3628,733.5938
5669,159.3628,737.5
5670,159.3628,741.4063
5671,159.3628,738.4766
5672,159.668,737.5
5673,159.3628,741.4063
5674,159.3628,738.4766
5675,159.668,743.3594
5676,159.9731,737.5
5677,160.2783,738.4766
5678,159.9731,745.3125
5679,159.668,741.4063
5680,160.2783,745.3125
5681,159.9731,744.3359
5682,160.5835,746.2891
5683,160.5835,745.3125
5684,160.5835,745.3125
5685,160.8887,741.4063
5686,161.499,745.3125
5687,161.1938,749.2188
5688,160.8887,749.2188
5689,160.5835,746.2891
5690,161.1938,745.3125
5691,160.8887,745.3125
5692,160.5835,751.1719
5693,160.8887,748.2422
5694,161.499,745.3125
5695,161.1938,750.1953
5696,161.1938,746.2891
5697,161.499,746.2891
5698,161.499,751.1719
5699,161.8042,752.1484
5700,161.8042,752.1484
5701,161.499,753.125
5702,161.8042,751.1719
5703,161.8042,748.2422
5704,161.8042,754.1016
5705,161.8042,750.1953
5706,161.8042,755.0781
5707,161.499,753.125
5708,161.8042,752.1484
5709,161.8042,758.0078
5710,161.499,758.0078
5711,161.499,753.125
5712,161.8042,754.1016
5713,161.8042,757.0313
5714,161.8042,758.9844
5715,161.8042,757.0313
5716,162.1094,757.0313
5717,162.1094,756.0547
5718,162.1094,761.9141
5719,161.8042,760.9375
5720,162.1094,755.0781
5721,162.1094,762.8906
5722,161.8042,761.9141
5723,162.1094,757.0313
5724,161.8042,761.9141
5725,161.8042,757.0313
5726,162.4146,760.9375
5727,161.8042,763.8672
5728,161.8042,761.9141
5729,162.1094,758.9844
5730,161.8042,761.9141
5731,162.7197,758.9844
5732,162.7197,761.9141
5733,162.4146,763.8672
5734,162.4146,758.9844
5735,162.4146,763.8672
5736,162.4146,767.7734
5737,162.1094,761.9141
5738,162.4146,761.9141
5739,162.4146,763.8672
5740,161.8042,765.8203
5741,162.1094,766.7969
5742,161.8042,763.8672
5743,162.1094,763.8672
5744,162.4146,767.7734
5745,162.1094,767.7734
5746,162.1094,767.7734
5747,162.4146,767.7734
5748,162.4146,768.75
5749,162.4146,765.8203
5750,162.4146,769.7266
5751,162.7197,763.8672
5752,162.7197,765.8203
5753,162.4146,770.7031
5754,162.4146,767.7734
5755,161.8042,770.7031
5756,161.8042,769.7266
5757,162.1094,770.7031
5758,162.4146,769.7266
5759,162.1094,769.7266
5760,162.4146,765.8203
5761,162.7197,765.8203
5762,162.4146,771.6797
5763,162.4146,770.7031
5764,162.4146,767.7734
5765,162.7197,767.7734
5766,162.7197,766.7969
5767,162.4146,774.6094
5768,162.4146,769.7266
5769,162.7197,765.8203
5770,162.4146,770.7031
5771,162.4146,766.7969
5772,162.1094,767.7734
5773,162.7197,771.6797
5774,162.4146,772.6563
5775,162.4146,771.6797
5776,162.1094,773.6328
5777,166.9922,769.7266
5778,162.7197,767.7734
5779,162.4146,775.5859
5780,163.0249,768.75
5781,162.7197,774.6094
5782,162.4146,769.7266
5783,163.9404,769.7266
5784,162.7197,775.5859
5785,162.4146,775.5859
5786,162.4146,769.7266
5787,163.0249,772.6563
5788,162.1094,775.5859
5789,162.1094,775.5859
5790,162.7197,773.6328
5791,162.4146,773.6328
5792,162.7197,772.6563
5793,162.4146,776.5625
5794,162.4146,774.6094
5795,162.7197,769.7266
5796,162.7197,775.5859
5797,162.4146,773.6328
5798,162.7197,769.7266
5799,162.7197,773.6328
5800,163.0249,769.7266
5801,163.0249,775.5859
5802,162.7197,777.5391
5803,162.4146,773.6328
5804,162.7197,772.6563
5805,163.0249,772.6563
5806,162.7197,772.6563
5807,162.7197,781.4453
5808,162.7197,775.5859
5809,162.7197,769.7266
5810,162.7197,785.3516
5811,162.1094,777.5391
5812,162.7197,773.6328
5813,162.7197,771.6797
5814,162.7197,775.5859
5815,162.7197,776.5625
5816,163.0249,777.5391
5817,162.4146,771.6797
5818,163.0249,774.6094
5819,162.7197,778.5156
5820,162.7197,777.5391
5821,162.7197,779.4922
5822,162.7197,779.4922
5823,162.7197,777.5391
5824,162.4146,772.6563
5825,162.4146,777.5391
5826,162.7197,772.6563
5827,163.0249,775.5859
5828,162.7197,779.4922
5829,162.7197,773.6328
5830,162.7197,779.4922
5831,162.7197,774.6094
5832,163.0249,778.5156
5833,163.0249,779.4922
5834,163.0249,773.6328
5835,163.0249,773.6328
5836,163.0249,778.5156
5837,162.7197,778.5156
5838,163.0249,775.5859
5839,163.0249,774.6094
5840,163.0249,776.5625
5841,162.7197,776.5625
5842,162.7197,779.4922
5843,162.1094,773.6328
5844,165.4663,775.5859
5845,162.7197,781.4453
5846,162.7197,776.5625
5847,163.0249,775.5859
5848,162.7197,779.4922
5849,162.7197,776.5625
5850,163.0249,780.4688
5851,162.7197,777.5391
5852,163.0249,774.6094
5853,163.0249,780.4688
5854,162.7197,779.4922
5855,162.7197,782.4219
5856,162.4146,780.4688
5857,162.7197,781.4453
5858,163.0249,779.4922
5859,162.1094,779.4922
5860,163.0249,776.5625
5861,163.0249,777.5391
5862,162.7197,783.3984
5863,163.0249,779.4922
5864,162.7197,777.5391
5865,163.0249,776.5625
5866,162.7197,777.5391
5867,163.0249,783.3984
5868,163.0249,777.5391
5869,163.3301,776.5625
5870,163.0249,784.375
5871,162.7197,777.5391
5872,163.0249,777.5391
5873,163.0249,782.4219
5874,162.7197,781.4453
5875,163.0249,789.2578
5876,162.7197,781.4453
5877,162.7197,776.5625
5878,163.0249,778.5156
5879,163.0249,782.4219
5880,162.7197,780.4688
5881,162.7197,782.4219
5882,163.0249,781.4453
5883,163.0249,779.4922
5884,163.0249,785.3516
5885,163.3301,779.4922
5886,163.3301,778.5156
5887,163.0249,785.3516
5888,163.0249,784.375
5889,162.7197,781.4453
5890,163.0249,779.4922
5891,162.7197,779.4922
5892,163.0249,785.3516
5893,162.7197,783.3984
5894,162.7197,778.5156
5895,163.3301,780.4688
5896,163.0249,778.5156
5897,163.0249,777.5391
5898,163.0249,781.4453
5899,163.0249,783.3984
5900,163.3301,781.4453
5901,163.0249,785.3516
5902,163.0249,782.4219
5903,163.0249,778.5156
5904,163.3301,785.3516
5905,163.0249,780.4688
5906,163.0249,785.3516
5907,163.0249,780.4688
5908,162.7197,779.4922
5909,162.7197,785.3516
5910,162.7197,785.3516
5911,163.0249,780.4688
5912,163.0249,781.4453
5913,162.7197,785.3516
5914,163.0249,784.375
5915,163.0249,784.375
5916,163.3301,784.375
5917,163.6353,781.4453
5918,163.0249,785.3516
5919,163.0249,785.3516
5920,163.0249,779.4922
5921,163.0249,785.3516
5922,162.7197,783.3984
5923,163.0249,781.4453
5924,163.0249,784.375
5925,162.7197,780.4688
5926,163.6353,784.375
5927,163.0249,786.3281
5928,162.7197,782.4219
5929,163.0249,781.4453
5930,163.6353,781.4453
5931,163.3301,781.4453
5932,163.0249,781.4453
5933,163.0249,784.375
5934,163.6353,780.4688
5935,163.6353,785.3516
5936,163.0249,786.3281
5937,163.0249,781.4453
5938,163.0249,781.4453
5939,163.6353,785.3516
5940,163.0249,785.3516
5941,163.0249,786.3281
5942,163.0249,779.4922
5943,163.6353,781.4453
5944,162.7197,785.3516
5945,163.0249,782.4219
5946,163.0249,785.3516
5947,163.0249,788.2813
5948,163.0249,783.3984
5949,163.0249,781.4453
5950,163.0249,784.375
5951,163.6353,781.4453
5952,163.6353,784.375
5953,163.0249,788.2813
5954,163.0249,781.4453
5955,162.7197,786.3281
5956,163.0249,782.4219
5957,163.0249,785.3516
5958,163.0249,786.3281
5959,163.0249,782.4219
5960,163.0249,781.4453
5961,163.3301,785.3516
5962,163.0249,786.3281
5963,163.6353,781.4453
5964,163.6353,781.4453
5965,163.6353,783.3984
5966,163.3301,783.3984
5967,163.3301,786.3281
5968,163.6353,782.4219
5969,163.6353,782.4219
5970,163.6353,789.2578
5971,163.0249,786.3281
5972,163.3301,785.3516
5973,163.0249,787.3047
5974,163.0249,784.375
5975,163.6353,789.2578
5976,163.0249,784.375
5977,163.6353,781.4453
5978,163.0249,785.3516
5979,163.0249,786.3281
5980,163.3301,788.2813
5981,165.4663,785.3516
5982,163.0249,788.2813
5983,163.6353,785.3516
5984,163.0249,787.3047
5985,163.0249,782.4219
5986,163.6353,783.3984
5987,163.3301,790.2344
5988,163.0249,786.3281
5989,163.0249,783.3984
5990,163.0249,783.3984
5991,163.0249,783.3984
5992,163.6353,789.2578
5993,163.0249,785.3516
5994,163.0249,781.4453
5995,163.3301,786.3281
5996,163.3301,782.4219
5997,163.6353,782.4219
5998,163.6353,786.3281
5999,163.0249,787.3047
6000,163.3301,787.3047
6001,163.6353,791.2109
6002,163.6353,789.2578
6003,162.4146,787.3047
6004,161.8042,778.5156
6005,164.2456,785.3516
6006,163.9404,785.3516
6007,163.6353,790.2344
6008,163.0249,789.2578
6009,163.6353,783.3984
6010,163.3301,788.2813
6011,163.0249,785.3516
6012,163.6353,785.3516
6013,163.0249,789.2578
6014,163.6353,785.3516
6015,163.3301,789.2578
6016,163.0249,788.2813
6017,163.0249,784.375
6018,163.3301,785.3516
6019,163.9404,785.3516
6020,163.3301,789.2578
6021,163.6353,789.2578
6022,163.6353,785.3516
6023,163.9404,789.2578
6024,163.0249,791.2109
6025,163.0249,785.3516
6026,163.6353,791.2109
6027,163.0249,790.2344
6028,163.0249,787.3047
6029,163.0249,788.2813
6030,163.0249,785.3516
6031,163.3301,789.2578
6032,163.0249,791.2109
6033,163.0249,786.3281
6034,163.3301,787.3047
6035,163.0249,786.3281
6036,163.6353,785.3516
