Time (ms),Brass 500 PSI,Brass 1600 PSI
1,162.7197,895.7031
2,163.3301,896.6797
3,163.0249,896.6797
4,163.3301,895.7031
5,163.0249,895.7031
6,163.0249,895.7031
7,163.6353,895.7031
8,163.6353,896.6797
9,163.0249,899.6094
10,163.0249,895.7031
11,163.0249,895.7031
12,163.3301,896.6797
13,163.3301,895.7031
14,163.3301,897.6563
15,163.0249,893.75
16,163.3301,895.7031
17,163.0249,899.6094
18,163.0249,894.7266
19,163.0249,896.6797
20,163.0249,898.6328
21,163.0249,897.6563
22,163.6353,897.6563
23,163.0249,896.6797
24,163.3301,894.7266
25,163.3301,897.6563
26,163.0249,897.6563
27,163.3301,897.6563
28,163.0249,896.6797
29,163.0249,895.7031
30,163.0249,896.6797
31,163.0249,897.6563
32,163.0249,894.7266
33,163.0249,895.7031
34,162.7197,898.6328
35,162.7197,893.75
36,163.3301,895.7031
37,163.3301,895.7031
38,163.6353,896.6797
39,163.3301,897.6563
40,163.0249,895.7031
41,163.6353,894.7266
42,163.6353,897.6563
43,163.0249,896.6797
44,163.0249,896.6797
45,163.0249,898.6328
46,163.0249,896.6797
47,163.0249,896.6797
48,163.0249,896.6797
49,163.0249,894.7266
50,163.3301,898.6328
51,163.0249,898.6328
52,163.3301,897.6563
53,163.0249,897.6563
54,163.3301,895.7031
55,163.0249,895.7031
56,163.0249,897.6563
57,163.0249,894.7266
58,163.3301,895.7031
59,166.9922,900.5859
60,163.0249,894.7266
61,163.6353,895.7031
62,163.3301,896.6797
63,163.0249,897.6563
64,163.0249,898.6328
65,163.0249,894.7266
66,163.0249,894.7266
67,163.0249,898.6328
68,163.0249,896.6797
69,163.0249,895.7031
70,163.3301,897.6563
71,163.0249,897.6563
72,163.0249,896.6797
73,163.0249,896.6797
74,163.6353,893.75
75,163.6353,897.6563
76,163.3301,899.6094
77,163.0249,898.6328
78,163.0249,897.6563
79,163.0249,896.6797
80,163.0249,895.7031
81,163.0249,898.6328
82,163.3301,895.7031
83,163.6353,894.7266
84,163.0249,897.6563
85,163.0249,893.75
86,163.3301,895.7031
87,163.6353,893.75
88,163.6353,896.6797
89,163.0249,897.6563
90,163.0249,895.7031
91,163.6353,895.7031
92,163.3301,897.6563
93,163.0249,897.6563
94,163.3301,895.7031
95,163.0249,896.6797
96,163.0249,896.6797
97,163.0249,895.7031
98,163.0249,897.6563
99,163.0249,894.7266
100,163.6353,895.7031
101,163.3301,897.6563
102,163.0249,897.6563
103,163.0249,898.6328
104,163.0249,896.6797
105,163.3301,894.7266
106,163.0249,899.6094
107,163.0249,896.6797
108,163.0249,894.7266
109,163.3301,895.7031
110,163.0249,896.6797
111,163.3301,897.6563
112,163.6353,895.7031
113,163.3301,897.6563
114,163.0249,897.6563
115,166.0767,897.6563
116,162.7197,895.7031
117,163.3301,895.7031
118,163.0249,898.6328
119,163.3301,895.7031
120,163.3301,895.7031
121,163.0249,895.7031
122,163.0249,895.7031
123,163.3301,898.6328
124,163.0249,896.6797
125,163.3301,895.7031
126,163.0249,897.6563
127,163.0249,896.6797
128,163.0249,896.6797
129,162.7197,897.6563
130,163.0249,897.6563
131,163.6353,898.6328
132,163.0249,898.6328
133,163.0249,895.7031
134,163.0249,895.7031
135,163.0249,896.6797
136,163.0249,897.6563
137,163.0249,896.6797
138,163.0249,898.6328
139,163.3301,896.6797
140,163.3301,897.6563
141,163.0249,897.6563
142,163.0249,895.7031
143,163.3301,898.6328
144,163.3301,895.7031
145,163.3301,895.7031
146,163.0249,898.6328
147,163.0249,892.7734
148,163.6353,897.6563
149,162.7197,897.6563
150,163.0249,895.7031
151,163.6353,896.6797
152,163.0249,894.7266
153,163.3301,895.7031
154,163.6353,896.6797
155,163.3301,896.6797
156,163.3301,896.6797
157,163.0249,898.6328
158,163.0249,897.6563
159,163.6353,894.7266
160,162.7197,898.6328
161,163.0249,898.6328
162,163.0249,896.6797
163,163.0249,896.6797
164,163.0249,895.7031
165,163.0249,898.6328
166,163.0249,897.6563
167,163.0249,895.7031
168,163.3301,896.6797
169,163.0249,896.6797
170,163.0249,895.7031
171,163.3301,895.7031
172,163.0249,896.6797
173,163.6353,897.6563
174,163.0249,899.6094
175,163.0249,896.6797
176,163.3301,894.7266
177,163.0249,895.7031
178,163.3301,894.7266
179,163.0249,896.6797
180,163.3301,897.6563
181,163.0249,896.6797
182,163.0249,897.6563
183,163.3301,897.6563
184,163.0249,894.7266
185,163.0249,897.6563
186,163.0249,896.6797
187,163.0249,896.6797
188,163.0249,895.7031
189,163.3301,895.7031
190,163.6353,896.6797
191,163.3301,897.6563
192,163.0249,896.6797
193,163.6353,895.7031
194,163.0249,897.6563
195,163.0249,896.6797
196,163.0249,896.6797
197,163.3301,897.6563
198,163.0249,895.7031
199,163.3301,897.6563
200,163.0249,898.6328
201,162.7197,894.7266
202,163.3301,897.6563
203,163.0249,895.7031
204,163.3301,895.7031
205,163.3301,896.6797
206,163.0249,892.7734
207,163.3301,896.6797
208,163.3301,898.6328
209,163.3301,896.6797
210,163.3301,895.7031
211,163.3301,895.7031
212,163.0249,896.6797
213,162.7197,894.7266
214,163.0249,896.6797
215,163.3301,893.75
216,163.0249,896.6797
217,163.0249,897.6563
218,163.3301,894.7266
219,163.0249,896.6797
220,163.0249,896.6797
221,163.0249,896.6797
222,163.3301,898.6328
223,163.0249,896.6797
224,163.3301,895.7031
225,163.3301,898.6328
226,163.0249,896.6797
227,163.6353,898.6328
228,163.0249,897.6563
229,163.0249,895.7031
230,163.0249,894.7266
231,163.0249,895.7031
232,163.0249,894.7266
233,163.3301,895.7031
234,163.0249,898.6328
235,163.0249,894.7266
236,163.0249,895.7031
237,163.3301,895.7031
238,163.6353,896.6797
239,163.3301,897.6563
240,163.0249,894.7266
241,163.6353,895.7031
242,163.3301,897.6563
243,163.0249,896.6797
244,163.6353,894.7266
245,163.0249,898.6328
246,163.0249,896.6797
247,163.0249,896.6797
248,163.0249,896.6797
249,163.0249,894.7266
250,163.3301,895.7031
251,163.0249,898.6328
252,163.3301,897.6563
253,163.0249,898.6328
254,163.0249,896.6797
255,163.0249,895.7031
256,163.0249,898.6328
257,163.3301,894.7266
258,163.6353,894.7266
259,163.6353,898.6328
260,163.0249,895.7031
261,163.0249,896.6797
262,163.3301,895.7031
263,163.0249,896.6797
264,163.0249,897.6563
265,163.0249,902.5391
266,163.0249,894.7266
267,163.3301,896.6797
268,162.7197,898.6328
269,163.3301,895.7031
270,163.6353,895.7031
271,163.6353,895.7031
272,163.6353,895.7031
273,163.0249,897.6563
274,163.3301,894.7266
275,163.3301,894.7266
276,163.0249,897.6563
277,163.0249,896.6797
278,163.0249,897.6563
279,163.0249,896.6797
280,163.0249,895.7031
281,163.3301,898.6328
282,163.0249,896.6797
283,163.3301,894.7266
284,163.0249,897.6563
285,162.7197,896.6797
286,163.0249,899.6094
287,163.0249,895.7031
288,163.3301,897.6563
289,163.6353,896.6797
290,163.0249,897.6563
291,163.0249,894.7266
292,163.3301,894.7266
293,163.0249,899.6094
294,163.3301,895.7031
295,163.3301,895.7031
296,163.0249,894.7266
297,164.2456,895.7031
298,163.0249,899.6094
299,163.0249,896.6797
300,163.0249,894.7266
301,163.3301,896.6797
302,163.0249,895.7031
303,163.0249,896.6797
304,163.3301,897.6563
305,163.3301,896.6797
306,163.3301,898.6328
307,163.0249,897.6563
308,163.0249,895.7031
309,163.6353,895.7031
310,163.0249,897.6563
311,163.0249,898.6328
312,163.0249,896.6797
313,163.0249,896.6797
314,163.0249,896.6797
315,163.0249,898.6328
316,163.3301,896.6797
317,163.0249,895.7031
318,163.3301,898.6328
319,163.3301,897.6563
320,163.0249,895.7031
321,163.3301,895.7031
322,163.0249,895.7031
323,163.3301,898.6328
324,163.0249,898.6328
325,163.0249,895.7031
326,163.3301,895.7031
327,163.0249,894.7266
328,163.3301,894.7266
329,163.0249,896.6797
330,163.3301,897.6563
331,163.3301,895.7031
332,163.0249,897.6563
333,163.0249,898.6328
334,163.0249,894.7266
335,163.3301,897.6563
336,163.0249,895.7031
337,163.3301,897.6563
338,163.0249,896.6797
339,163.0249,894.7266
340,163.3301,897.6563
341,163.0249,897.6563
342,163.0249,896.6797
343,163.6353,894.7266
344,163.0249,898.6328
345,162.7197,896.6797
346,163.0249,896.6797
347,163.3301,896.6797
348,163.0249,895.7031
349,163.0249,896.6797
350,163.0249,897.6563
351,163.0249,895.7031
352,163.0249,896.6797
353,163.0249,895.7031
354,163.0249,894.7266
355,163.0249,896.6797
356,163.0249,894.7266
357,163.3301,896.6797
358,163.0249,899.6094
359,163.0249,897.6563
360,163.6353,895.7031
361,163.6353,894.7266
362,163.3301,896.6797
363,163.3301,895.7031
364,163.0249,896.6797
365,163.3301,894.7266
366,163.0249,896.6797
367,163.0249,897.6563
368,162.7197,894.7266
369,163.3301,895.7031
370,163.0249,897.6563
371,163.0249,896.6797
372,163.3301,896.6797
373,163.6353,895.7031
374,163.6353,894.7266
375,163.3301,897.6563
376,163.0249,896.6797
377,163.3301,899.6094
378,163.0249,898.6328
379,163.0249,896.6797
380,162.7197,895.7031
381,163.0249,896.6797
382,163.3301,895.7031
383,163.3301,894.7266
384,163.0249,898.6328
385,163.0249,894.7266
386,163.0249,896.6797
387,163.0249,896.6797
388,163.3301,896.6797
389,163.3301,899.6094
390,163.3301,895.7031
391,163.6353,894.7266
392,163.0249,896.6797
393,163.0249,897.6563
394,163.3301,895.7031
395,163.6353,895.7031
396,162.7197,896.6797
397,163.0249,895.7031
398,163.0249,897.6563
399,163.3301,894.7266
400,163.3301,895.7031
401,163.3301,897.6563
402,163.0249,894.7266
403,163.3301,897.6563
404,163.0249,898.6328
405,163.0249,896.6797
406,163.3301,898.6328
407,163.0249,896.6797
408,163.0249,894.7266
409,163.3301,896.6797
410,163.0249,899.6094
411,163.0249,897.6563
412,163.0249,896.6797
413,163.0249,896.6797
414,163.0249,896.6797
415,162.7197,897.6563
416,162.7197,896.6797
417,163.3301,894.7266
418,163.6353,897.6563
419,163.6353,898.6328
420,163.0249,895.7031
421,163.3301,896.6797
422,163.0249,895.7031
423,163.3301,898.6328
424,163.0249,897.6563
425,163.0249,895.7031
426,163.0249,895.7031
427,163.0249,894.7266
428,163.0249,894.7266
429,163.3301,896.6797
430,163.3301,897.6563
431,163.0249,895.7031
432,163.0249,899.6094
433,163.0249,897.6563
434,163.0249,894.7266
435,163.6353,897.6563
436,163.0249,895.7031
437,163.6353,897.6563
438,163.0249,895.7031
439,163.3301,895.7031
440,163.3301,896.6797
441,163.0249,899.6094
442,163.3301,896.6797
443,163.3301,895.7031
444,163.0249,895.7031
445,163.0249,897.6563
446,163.3301,897.6563
447,163.3301,897.6563
448,163.0249,894.7266
449,163.6353,896.6797
450,163.0249,898.6328
451,163.0249,895.7031
452,163.6353,897.6563
453,163.0249,897.6563
454,163.0249,895.7031
455,163.0249,896.6797
456,163.0249,895.7031
457,163.6353,896.6797
458,163.0249,897.6563
459,162.7197,897.6563
460,163.0249,894.7266
461,163.0249,895.7031
462,163.3301,896.6797
463,163.3301,896.6797
464,163.0249,896.6797
465,163.0249,894.7266
466,163.0249,895.7031
467,163.0249,897.6563
468,163.0249,896.6797
469,163.3301,896.6797
470,163.3301,896.6797
471,163.0249,896.6797
472,163.3301,896.6797
473,163.0249,895.7031
474,163.0249,894.7266
475,163.6353,897.6563
476,163.0249,897.6563
477,167.2974,896.6797
478,163.0249,898.6328
479,163.0249,896.6797
480,163.0249,895.7031
481,163.0249,897.6563
482,163.0249,893.75
483,163.0249,895.7031
484,163.6353,897.6563
485,162.7197,894.7266
486,163.0249,897.6563
487,163.0249,895.7031
488,163.6353,897.6563
489,163.6353,896.6797
490,163.0249,895.7031
491,163.6353,895.7031
492,163.6353,896.6797
493,163.3301,897.6563
494,163.6353,894.7266
495,163.0249,894.7266
496,163.3301,895.7031
497,163.3301,895.7031
498,163.0249,896.6797
499,163.0249,894.7266
500,163.3301,895.7031
501,163.0249,896.6797
502,163.0249,895.7031
503,163.0249,896.6797
504,163.0249,897.6563
505,163.3301,895.7031
506,163.6353,898.6328
507,163.0249,896.6797
